comercioId,nombre,categoria,pais,calificacion,esConocido,telefonoContacto,horario,registrado,totalTransacciones
CO-0001,Armendáriz S.C.,transferencia,Colombia,3.2,true,906-391-2697x06558,L-V 9-17|24/7,2022-06-09,10508
CO-0002,Ibarra-Santiago y Asociados,farmacia,Venezuela,1.6,true,270.564.6224x85205,24/7|L-D 10-22,2020-03-08,47
CO-0003,Club León-Prieto,joyeria,Colombia,4.5,true,+54(6)6447221289,L-D 10-22|L-S 9-21,2017-03-12,47251
CO-0004,Hidalgo S.C.,farmacia,Venezuela,4.3,true,1-441-615-0212x99449,L-D 10-22,2021-02-27,36140
CO-0005,Cintrón-Curiel,restaurante,Nigeria,2.1,true,664.237.1752x74912,24/7|L-V 8-18,2012-02-28,34288
CO-0006,"Despacho Moya, Fonseca y Almanza",farmacia,Guatemala,4.3,true,02959467875,L-S 9-21,2010-09-14,13243
CO-0007,Laboratorios Esquivel-Alba,farmacia,Costa Rica,1.8,true,(752)861-6367x244,L-D 10-22,2018-09-19,43117
CO-0008,Altamirano S.C.,casino,Nigeria,2.0,true,(192)639-4856x71309,L-S 9-21|L-V 8-18,2010-04-18,13679
CO-0009,Gollum-Vargas S.A.,casino,México,2.9,true,766-132-9217,24/7,2022-07-08,48724
CO-0010,Corporacin de la O y Barraza,aerolinea,Honduras,4.2,true,+17(3)9753220507,L-D 10-22,2015-12-18,34669
CO-0011,Colunga y Márquez S.A.,supermercado,México,4.3,true,052-968-2538x705,L-S 9-21,2021-08-26,6364
CO-0012,Corporacin Ríos-Ruiz,farmacia,Estados Unidos,3.1,true,969.660.9682x49344,L-S 9-21,2021-10-20,43049
CO-0013,Ochoa S. R.L. de C.V.,gasolinera,Nigeria,3.5,true,05858735394,L-D 10-22,2022-07-09,27209
CO-0014,Olivares-Lucero S. R.L. de C.V.,farmacia,Nigeria,2.4,true,1-168-076-1977x400,L-V 9-17|L-V 8-18,2013-09-28,11822
CO-0015,"Valadez, Caldera y Ávalos",joyeria,Honduras,3.6,true,030.037.6330,24/7|L-D 10-22,2022-05-04,21276
CO-0016,Quintanilla-Meléndez,hotel,El Salvador,4.1,true,1-571-097-3019x87072,24/7|L-S 9-21,2022-08-19,35758
CO-0017,Laboratorios Negrón-Carranza,gasolinera,El Salvador,4.1,true,07343151974,24/7|L-V 9-17,2020-01-14,26023
CO-0018,"Proyectos Sánchez, Lozano y Aguilera",supermercado,Guatemala,4.9,true,015-823-1554,L-D 10-22,2013-01-11,19781
CO-0019,"Carrasco, Madrid y Mesa",supermercado,Panamá,4.9,true,1-900-558-9957,24/7,2010-06-27,45201
CO-0020,"Grupo Arreola, Beltrán y Ceballos",tienda_online,Venezuela,3.0,true,737-474-1998x43007,L-V 8-18,2010-11-06,30170
CO-0021,Longoria-Suárez S. R.L. de C.V.,hotel,Colombia,1.6,true,04916958214,L-D 10-22|L-S 9-21,2015-03-24,16793
CO-0022,Club Castañeda-Romo,tienda_online,México,3.3,true,142.864.0090,L-V 8-18,2017-04-13,31623
CO-0023,Aguilar-Amaya,restaurante,Costa Rica,4.3,true,214-027-8148x780,L-D 10-22,2016-09-26,2449
CO-0024,Reynoso-Roldán S. R.L. de C.V.,transferencia,El Salvador,1.3,true,759.146.2383,24/7,2017-10-21,28462
CO-0025,Industrias Escamilla y Parra,aerolinea,México,4.5,true,1-822-393-3407x581,L-D 10-22,2010-04-04,41542
CO-0026,Montañez-Fajardo,aerolinea,Guatemala,2.2,true,1-935-059-5266x0671,24/7,2022-02-10,37022
