dispositivoId,tipo,sistemaOperativo,ip,ultimoUso,confiable,marcaModelo,versionApp,usuariosAsociados,ubicacionesRegistradas
DV-0001,tablet,Android 13,133.51.168.135,2023-03-04,true,HP EliteBook,2.6.13,1,Lagos|Los Angeles
DV-0002,movil,Windows 11,106.69.42.65,2024-09-14,false,iPhone 14,2.1.4,3,Santa Ana|Cancún|Mixco
DV-0003,desktop,Linux,181.121.0.129,2024-06-27,true,Xiaomi Redmi,2.7.13,1,Abuja|San José|Maracaibo
DV-0004,movil,macOS 14,72.35.114.67,2024-04-07,true,iPhone 14,2.6.10,2,Tijuana|San Pedro Sula
DV-0005,desktop,Windows 11,164.206.139.157,2024-11-12,false,Xiaomi Redmi,2.5.4,4,Cancún
DV-0006,movil,macOS 14,195.90.82.56,2023-04-09,true,iPad Pro,2.5.4,1,Mixco|David|Escuintla
DV-0007,desktop,macOS 14,44.133.98.254,2023-02-22,false,Xiaomi Redmi,2.9.9,3,Chicago
DV-0008,movil,macOS 14,108.154.165.148,2023-08-18,true,Samsung Galaxy S23,2.5.11,1,Chicago|Tegucigalpa
DV-0009,tablet,Linux,104.53.89.114,2024-09-20,true,iPad Pro,2.8.0,2,Valencia
DV-0010,desktop,Windows 11,104.179.207.184,2023-12-26,true,Samsung Galaxy S23,2.2.4,2,Colón
DV-0011,movil,Android 13,4.178.215.10,2024-06-27,true,iPhone 14,2.6.13,2,David|Valencia
DV-0012,desktop,Linux,12.40.66.202,2024-09-02,true,Samsung Galaxy S23,2.0.4,1,San Salvador|Bogotá|Cancún
DV-0013,tablet,macOS 14,171.80.103.65,2024-05-12,true,Dell XPS,2.7.13,2,Cartago
DV-0014,desktop,macOS 14,178.179.20.64,2023-04-24,true,Xiaomi Redmi,2.9.15,2,Tegucigalpa
DV-0015,tablet,Android 13,96.100.4.2,2023-01-08,true,iPhone 14,2.4.6,1,San Miguel|David
DV-0016,desktop,macOS 14,72.218.97.187,2023-06-29,false,iPhone 14,2.6.7,5,Escuintla|Valencia|Santa Ana
DV-0017,tablet,Android 13,218.233.34.247,2024-03-22,true,Samsung Galaxy S23,2.7.2,2,Cali|Chicago|Miami
DV-0018,desktop,Windows 11,137.153.158.63,2023-04-28,true,HP EliteBook,2.0.10,1,San José|Houston|Valencia
DV-0019,movil,iOS 16,92.237.213.35,2024-03-22,false,Dell XPS,2.6.2,4,Cali|David
DV-0020,movil,Android 13,121.116.240.68,2024-06-06,true,iPad Pro,2.1.6,2,San Pedro Sula|San José
DV-0021,movil,Android 13,156.201.151.72,2023-05-30,true,Xiaomi Redmi,2.3.5,1,Santa Ana|Valencia|Maracaibo
DV-0022,desktop,Linux,91.54.250.35,2024-08-16,true,HP EliteBook,2.9.10,2,Los Angeles
DV-0023,desktop,Windows 11,132.205.76.104,2023-10-09,false,Dell XPS,2.0.11,5,David
DV-0024,movil,Android 13,156.198.55.33,2024-01-13,true,Xiaomi Redmi,2.1.2,2,Cancún|Mixco
DV-0025,tablet,Android 13,119.213.42.177,2024-04-05,true,Dell XPS,2.3.10,2,Colón|San Salvador|Los Angeles
DV-0026,desktop,Android 13,189.70.235.91,2024-05-31,false,iPad Pro,2.2.1,2,Los Angeles|Houston|San José
DV-0027,desktop,Windows 11,116.147.87.79,2024-02-01,true,HP EliteBook,2.5.1,2,David
DV-0028,tablet,macOS 14,159.180.235.224,2023-10-18,false,Xiaomi Redmi,2.9.4,3,Cancún
DV-0029,desktop,Windows 11,159.234.34.106,2024-11-02,true,iPad Pro,2.6.4,1,Mixco|Ciudad de Guatemala
DV-0030,desktop,iOS 16,215.0.120.70,2024-11-17,true,iPad Pro,2.8.2,2,Valencia|Caracas|David
DV-0031,movil,Windows 11,88.59.90.151,2024-05-12,true,iPhone 14,2.3.4,1,San Miguel
DV-0032,movil,Linux,67.222.242.83,2024-07-06,true,iPad Pro,2.8.1,2,Los Angeles|Ciudad de Guatemala|Ciudad de Guatemala
DV-0033,movil,Linux,203.85.142.110,2023-06-19,true,iPad Pro,2.7.1,2,Bogotá|San Pedro Sula
DV-0034,desktop,Linux,26.32.184.129,2023-10-19,true,iPad Pro,2.7.7,1,Chicago|Caracas
DV-0035,tablet,macOS 14,49.149.54.56,2024-04-17,true,Xiaomi Redmi,2.6.13,1,Ciudad de Guatemala
DV-0036,desktop,Android 13,102.121.27.137,2024-10-18,false,HP EliteBook,2.5.3,5,San Miguel
