tarjetaId,cuentaId,fechaAsociacion,esPrincipal,limiteCompartido
TJ-0001,CU-0001,2023-05-25,true,19236.96
TJ-0002,CU-0002,2020-12-06,true,27001.35
TJ-0003,CU-0003,2022-07-09,true,11218.48
TJ-0004,CU-0004,2019-05-03,true,22751.97
TJ-0005,CU-0005,2018-05-14,true,6010.44
TJ-0006,CU-0006,2020-05-17,true,39597.96
TJ-0007,CU-0007,2019-02-22,true,1289.23
TJ-0008,CU-0008,2021-08-09,true,41359.04
TJ-0009,CU-0009,2023-10-30,true,7198.95
TJ-0010,CU-0010,2020-05-04,true,46685.37
TJ-0011,CU-0011,2020-08-08,true,34201.24
TJ-0012,CU-0012,2021-10-11,true,26959.06
TJ-0013,CU-0013,2019-07-13,true,11502.45
TJ-0014,CU-0014,2019-08-04,true,33172.0
TJ-0015,CU-0015,2020-07-21,true,41390.29
TJ-0016,CU-0016,2019-06-22,true,8064.17
TJ-0017,CU-0017,2021-05-22,true,4730.74
TJ-0018,CU-0018,2019-05-14,true,13668.5
TJ-0019,CU-0019,2021-01-30,true,47698.46
TJ-0020,CU-0020,2019-08-02,true,10422.85
TJ-0021,CU-0021,2018-01-23,true,18800.64
TJ-0022,CU-0022,2022-05-19,true,39420.71
TJ-0023,CU-0023,2022-11-29,true,23147.72
TJ-0024,CU-0024,2018-02-21,true,36671.74
TJ-0025,CU-0025,2022-07-13,true,6293.49
TJ-0026,CU-0026,2019-09-12,true,18500.99
TJ-0027,CU-0027,2019-05-24,true,24812.52
TJ-0028,CU-0028,2020-09-02,true,15787.88
TJ-0029,CU-0029,2019-05-26,true,2373.79
TJ-0030,CU-0030,2021-06-28,true,12490.7
TJ-0031,CU-0031,2023-09-28,true,46664.79
TJ-0032,CU-0032,2020-03-29,true,35205.82
TJ-0033,CU-0033,2018-04-20,true,13197.63
TJ-0034,CU-0034,2019-02-15,true,22328.21
TJ-0035,CU-0035,2022-08-15,true,13802.99
TJ-0036,CU-0036,2022-11-05,true,47395.71
TJ-0037,CU-0037,2018-02-12,true,38516.17
TJ-0038,CU-0038,2019-09-07,true,41470.74
TJ-0039,CU-0039,2022-05-27,true,33579.94
TJ-0040,CU-0040,2023-05-02,true,15306.18
TJ-0041,CU-0041,2021-11-16,true,6436.21
TJ-0042,CU-0042,2019-02-25,true,22824.88
TJ-0043,CU-0043,2022-10-04,true,33508.9
TJ-0044,CU-0044,2022-10-16,true,6612.04
TJ-0045,CU-0045,2021-02-22,true,25089.56
TJ-0046,CU-0046,2022-03-19,true,46133.1
TJ-0047,CU-0047,2021-08-28,true,39488.88
TJ-0048,CU-0048,2023-02-12,true,19524.46
TJ-0049,CU-0049,2021-05-22,true,39455.48
TJ-0050,CU-0050,2019-10-08,true,46059.56
TJ-0051,CU-0051,2022-02-14,true,30303.52
TJ-0052,CU-0052,2018-06-14,true,9966.1
TJ-0053,CU-0053,2019-10-18,true,24183.55
TJ-0054,CU-0054,2023-02-07,true,35216.09
TJ-0055,CU-0055,2022-08-09,true,31111.46
TJ-0056,CU-0056,2021-02-11,true,49677.65
TJ-0057,CU-0057,2020-01-21,true,17270.51
TJ-0058,CU-0058,2021-04-06,true,40367.0
TJ-0059,CU-0059,2023-04-01,true,19573.27
TJ-0060,CU-0060,2021-04-21,true,15450.72
TJ-0061,CU-0061,2023-01-27,true,33732.98
TJ-0062,CU-0062,2019-12-03,true,3000.98
TJ-0063,CU-0063,2019-03-23,true,10387.03
TJ-0064,CU-0064,2022-05-02,true,26074.0
TJ-0065,CU-0065,2022-01-22,true,46365.95
TJ-0066,CU-0066,2019-10-15,true,48560.2
TJ-0067,CU-0067,2023-11-10,true,4789.28
TJ-0068,CU-0068,2023-06-10,true,7324.72
TJ-0069,CU-0069,2020-12-17,true,9470.26
TJ-0070,CU-0070,2018-07-09,true,47476.89
TJ-0071,CU-0071,2022-09-15,true,37640.23
TJ-0072,CU-0072,2020-07-20,true,47784.79
TJ-0073,CU-0073,2021-07-06,true,8760.92
TJ-0074,CU-0074,2023-07-11,true,32175.59
TJ-0075,CU-0075,2021-10-14,true,40680.91
TJ-0076,CU-0076,2023-05-01,true,7590.55
TJ-0077,CU-0077,2023-07-21,true,23273.04
TJ-0078,CU-0078,2020-03-01,true,44478.51
TJ-0079,CU-0079,2018-07-14,true,8106.11
TJ-0080,CU-0080,2018-07-20,true,10423.42
TJ-0081,CU-0081,2021-01-04,true,10352.72
TJ-0082,CU-0082,2018-07-19,true,46100.7
TJ-0083,CU-0083,2023-06-13,true,23718.09
TJ-0084,CU-0084,2018-03-14,true,36391.83
TJ-0085,CU-0085,2019-01-13,true,7378.43
TJ-0086,CU-0086,2018-12-31,true,42167.1
TJ-0087,CU-0087,2020-03-10,true,9844.03
TJ-0088,CU-0088,2023-08-21,true,27620.32
TJ-0089,CU-0089,2018-09-13,true,42935.31
TJ-0090,CU-0090,2021-10-19,true,19154.37
TJ-0091,CU-0091,2018-02-10,true,46512.09
TJ-0092,CU-0092,2022-10-25,true,41854.05
TJ-0093,CU-0093,2023-06-12,true,7014.42
TJ-0094,CU-0094,2019-05-21,true,3488.87
TJ-0095,CU-0095,2020-03-29,true,4470.82
TJ-0096,CU-0096,2023-12-30,true,18947.24
TJ-0097,CU-0097,2021-02-03,true,37545.63
TJ-0098,CU-0098,2018-08-09,true,22162.64
TJ-0099,CU-0099,2023-01-18,true,44729.77
TJ-0100,CU-0100,2022-04-12,true,14275.29
TJ-0101,CU-0101,2022-11-09,true,7869.12
TJ-0102,CU-0102,2018-05-15,true,33596.62
TJ-0103,CU-0103,2022-09-24,true,16806.26
TJ-0104,CU-0104,2022-06-23,true,18054.99
TJ-0105,CU-0105,2019-06-27,true,49789.49
TJ-0106,CU-0106,2021-07-31,true,43633.86
TJ-0107,CU-0107,2020-10-21,true,45792.01
TJ-0108,CU-0108,2020-03-17,true,24641.39
TJ-0109,CU-0109,2021-01-21,true,9049.93
TJ-0110,CU-0110,2018-09-22,true,39513.19
TJ-0111,CU-0111,2019-05-04,true,18802.73
TJ-0112,CU-0112,2020-08-22,true,28191.11
TJ-0113,CU-0113,2022-12-02,true,47173.42
TJ-0114,CU-0114,2023-12-06,true,25146.87
TJ-0115,CU-0115,2018-09-01,true,38592.42
TJ-0116,CU-0116,2018-01-26,true,28807.08
