clienteId,dispositivoId,primerUso,frecuencia,esPropio
CL-0001,DV-0001,2022-04-20,161,true
CL-0008,DV-0001,2022-06-15,44,false
CL-0002,DV-0002,2023-03-18,81,true
CL-0009,DV-0002,2023-10-20,135,false
CL-0003,DV-0003,2022-03-29,180,true
CL-0010,DV-0003,2023-03-29,119,false
CL-0004,DV-0004,2022-06-28,149,true
CL-0011,DV-0004,2023-10-23,166,false
CL-0005,DV-0005,2022-07-08,89,true
CL-0012,DV-0005,2023-04-25,136,false
CL-0006,DV-0006,2022-07-21,109,true
CL-0013,DV-0006,2022-08-28,107,false
CL-0007,DV-0007,2023-06-28,28,true
CL-0014,DV-0007,2022-05-11,57,false
CL-0008,DV-0008,2022-01-18,84,true
CL-0015,DV-0008,2023-12-09,57,false
CL-0009,DV-0009,2022-06-02,84,true
CL-0016,DV-0009,2022-05-22,109,false
CL-0010,DV-0010,2022-02-19,11,true
CL-0017,DV-0010,2022-03-12,163,false
CL-0011,DV-0011,2022-04-01,139,true
CL-0018,DV-0011,2023-10-17,28,false
CL-0012,DV-0012,2022-07-09,63,true
CL-0019,DV-0012,2022-01-17,123,false
CL-0013,DV-0013,2022-08-06,135,true
CL-0020,DV-0013,2023-06-23,144,false
CL-0014,DV-0014,2023-11-05,16,true
CL-0021,DV-0014,2022-03-20,162,false
CL-0015,DV-0015,2022-05-26,43,true
CL-0022,DV-0015,2022-03-31,35,false
CL-0016,DV-0016,2022-09-28,161,true
CL-0023,DV-0016,2022-07-23,192,false
CL-0017,DV-0017,2023-11-30,107,true
CL-0024,DV-0017,2022-12-25,33,false
CL-0018,DV-0018,2022-04-08,16,true
CL-0025,DV-0018,2022-03-21,9,false
CL-0019,DV-0019,2023-03-30,164,true
CL-0026,DV-0019,2022-10-07,86,false
CL-0020,DV-0020,2022-07-02,13,true
CL-0027,DV-0020,2022-12-23,181,false
CL-0021,DV-0021,2022-02-22,9,true
CL-0028,DV-0021,2023-08-27,148,false
CL-0022,DV-0022,2022-03-23,18,true
CL-0029,DV-0022,2023-09-15,161,false
CL-0023,DV-0023,2023-04-18,30,true
CL-0030,DV-0023,2022-11-26,130,false
CL-0024,DV-0024,2022-01-29,131,true
CL-0031,DV-0024,2023-01-16,161,false
CL-0025,DV-0025,2022-05-07,22,true
CL-0032,DV-0025,2023-12-12,17,false
CL-0026,DV-0026,2022-11-27,6,true
CL-0033,DV-0026,2023-11-12,180,false
CL-0027,DV-0027,2022-11-07,28,true
CL-0034,DV-0027,2022-06-19,42,false
CL-0028,DV-0028,2022-12-18,16,true
CL-0035,DV-0028,2022-03-19,30,false
CL-0029,DV-0029,2022-06-20,129,true
CL-0036,DV-0029,2023-04-12,200,false
CL-0030,DV-0030,2022-12-06,16,true
CL-0037,DV-0030,2023-06-18,47,false
CL-0031,DV-0031,2023-02-09,120,true
