transaccionId,cuentaId,monto,fecha,bancoDestino
TX-00001,CU-0033,40057.15,2024-10-18,BAC
TX-00002,CU-0023,1912.99,2024-04-02,Banistmo
TX-00003,CU-0004,22942.78,2023-08-17,G&T Continental
TX-00004,CU-0035,46025.04,2023-06-08,HSBC
TX-00005,CU-0050,27544.96,2023-10-25,BAC
TX-00006,CU-0036,32986.98,2023-11-29,G&T Continental
TX-00009,CU-0028,2646.24,2023-03-03,Citibank
TX-00010,CU-0012,56.06,2024-07-27,G&T Continental
TX-00012,CU-0055,41859.46,2024-07-10,HSBC
TX-00013,CU-0018,18762.05,2023-09-11,HSBC
TX-00014,CU-0023,6550.74,2024-03-20,Citibank
TX-00015,CU-0018,7045.46,2024-02-12,G&T Continental
TX-00016,CU-0031,3456.7,2024-09-05,Banrural
TX-00017,CU-0049,8986.11,2024-01-27,Banistmo
TX-00020,CU-0023,25235.12,2024-01-18,HSBC
TX-00021,CU-0064,20987.76,2024-03-16,Davivienda
TX-00023,CU-0028,45426.16,2023-02-02,BAC
TX-00026,CU-0055,44976.72,2024-05-31,Banistmo
TX-00027,CU-0039,17917.83,2023-04-24,BAC
TX-00028,CU-0074,28714.17,2024-01-16,Davivienda
TX-00029,CU-0051,34560.46,2023-07-13,Citibank
TX-00030,CU-0061,48690.5,2024-06-16,Davivienda
TX-00031,CU-0064,12527.45,2024-03-18,Banistmo
TX-00032,CU-0065,35867.89,2023-11-24,Banistmo
TX-00033,CU-0040,40750.17,2024-05-03,Davivienda
TX-00034,CU-0054,28128.73,2023-09-08,Industrial
TX-00035,CU-0041,43938.73,2024-08-15,Davivienda
TX-00037,CU-0056,11452.2,2024-01-05,Davivienda
TX-00038,CU-0041,18718.23,2023-07-05,Citibank
TX-00039,CU-0075,44701.64,2024-08-28,Industrial
TX-00040,CU-0064,17918.24,2023-03-26,HSBC
TX-00042,CU-0072,21633.62,2023-11-26,HSBC
TX-00043,CU-0048,48427.05,2023-06-23,Citibank
TX-00044,CU-0054,24780.8,2024-01-10,BAC
TX-00047,CU-0096,24509.73,2024-10-19,Banrural
TX-00051,CU-0058,6383.86,2024-12-02,HSBC
TX-00053,CU-0079,46080.25,2023-07-26,Industrial
TX-00054,CU-0070,44956.66,2023-12-13,Citibank
TX-00056,CU-0103,16261.81,2024-03-01,Industrial
TX-00057,CU-0074,49288.33,2023-11-05,G&T Continental
TX-00058,CU-0077,12551.7,2024-10-16,G&T Continental
TX-00060,CU-0086,20772.15,2023-07-12,Citibank
TX-00061,CU-0093,7438.05,2024-02-09,Banrural
TX-00064,CU-0075,24091.93,2024-06-03,Banistmo
TX-00065,CU-0071,21248.62,2023-08-18,BAC
TX-00066,CU-0099,35433.98,2024-02-03,HSBC
TX-00067,CU-0107,36591.42,2024-03-08,Banrural
TX-00068,CU-0078,24139.02,2024-02-20,Davivienda
