transaccionId,comercioId,fecha,metodoPago,montoTotal
TX-00001,CO-0001,2024-10-18,online,40057.15
TX-00002,CO-0002,2024-04-02,transferencia,1912.99
TX-00003,CO-0003,2023-08-17,online,22942.78
TX-00004,CO-0004,2023-06-08,online,46025.04
TX-00005,CO-0005,2023-10-25,online,27544.96
TX-00006,CO-0006,2023-11-29,POS,32986.98
TX-00007,CO-0007,2024-09-28,transferencia,45389.87
TX-00008,CO-0008,2024-02-11,ATM,39329.04
TX-00009,CO-0009,2023-03-03,transferencia,2646.24
TX-00010,CO-0010,2024-07-27,POS,56.06
TX-00011,CO-0011,2024-02-29,POS,14150.6
TX-00012,CO-0012,2024-07-10,online,41859.46
TX-00013,CO-0013,2023-09-11,transferencia,18762.05
TX-00014,CO-0014,2024-03-20,POS,6550.74
TX-00015,CO-0015,2024-02-12,transferencia,7045.46
TX-00016,CO-0016,2024-09-05,app_movil,3456.7
TX-00017,CO-0017,2024-01-27,ATM,8986.11
TX-00018,CO-0018,2024-06-03,ATM,10933.42
TX-00019,CO-0019,2024-01-29,transferencia,24053.35
TX-00020,CO-0020,2024-01-18,ATM,25235.12
TX-00021,CO-0021,2024-03-16,online,20987.76
TX-00022,CO-0022,2024-04-27,transferencia,4367.22
TX-00023,CO-0023,2023-02-02,ATM,45426.16
TX-00024,CO-0024,2024-04-19,app_movil,46977.73
TX-00025,CO-0025,2023-12-23,app_movil,15564.48
TX-00026,CO-0026,2024-05-31,ATM,44976.72
TX-00027,CO-0027,2023-04-24,online,17917.83
TX-00028,CO-0028,2024-01-16,transferencia,28714.17
TX-00029,CO-0029,2023-07-13,ATM,34560.46
TX-00030,CO-0030,2024-06-16,POS,48690.5
TX-00031,CO-0031,2024-03-18,ATM,12527.45
TX-00032,CO-0032,2023-11-24,app_movil,35867.89
TX-00033,CO-0033,2024-05-03,online,40750.17
TX-00034,CO-0034,2023-09-08,app_movil,28128.73
TX-00035,CO-0035,2024-08-15,app_movil,43938.73
TX-00036,CO-0036,2023-12-02,online,21844.75
TX-00037,CO-0037,2024-01-05,POS,11452.2
TX-00038,CO-0038,2023-07-05,POS,18718.23
TX-00039,CO-0039,2024-08-28,transferencia,44701.64
TX-00040,CO-0040,2023-03-26,online,17918.24
TX-00041,CO-0041,2024-08-20,POS,35346.39
TX-00042,CO-0042,2023-11-26,online,21633.62
TX-00043,CO-0043,2023-06-23,online,48427.05
TX-00044,CO-0044,2024-01-10,transferencia,24780.8
TX-00045,CO-0045,2024-05-14,POS,29400.24
TX-00046,CO-0046,2024-04-07,POS,15070.05
TX-00047,CO-0047,2024-10-19,ATM,24509.73
TX-00048,CO-0048,2024-12-08,transferencia,1402.66
TX-00049,CO-0049,2023-10-04,POS,24769.4
TX-00050,CO-0050,2023-08-15,ATM,20686.13
TX-00051,CO-0051,2024-12-02,transferencia,6383.86
TX-00052,CO-0052,2023-07-01,online,16187.45
TX-00053,CO-0053,2023-07-26,transferencia,46080.25
TX-00054,CO-0054,2023-12-13,app_movil,44956.66
TX-00055,CO-0055,2024-06-04,app_movil,26058.22
TX-00056,CO-0056,2024-03-01,POS,16261.81
TX-00057,CO-0057,2023-11-05,app_movil,49288.33
TX-00058,CO-0058,2024-10-16,ATM,12551.7
TX-00059,CO-0059,2023-04-30,online,34783.17
TX-00060,CO-0060,2023-07-12,transferencia,20772.15
TX-00061,CO-0061,2024-02-09,POS,7438.05
TX-00062,CO-0062,2024-03-15,POS,32065.54
TX-00063,CO-0063,2024-12-17,online,41976.93
TX-00064,CO-0064,2024-06-03,online,24091.93
TX-00065,CO-0065,2023-08-18,POS,21248.62
TX-00066,CO-0066,2024-02-03,POS,35433.98
TX-00067,CO-0067,2024-03-08,online,36591.42
TX-00068,CO-0068,2024-02-20,POS,24139.02
TX-00069,CO-0069,2024-09-12,app_movil,48651.6
TX-00070,CO-0070,2024-10-29,ATM,49809.8
TX-00071,CO-0071,2023-01-05,online,40617.07
TX-00072,CO-0072,2024-03-03,POS,9436.27
TX-00073,CO-0073,2023-10-24,online,31020.88
TX-00074,CO-0074,2023-01-09,POS,39964.97
TX-00075,CO-0075,2023-08-12,ATM,10169.94
TX-00076,CO-0076,2024-12-12,ATM,22230.02
TX-00077,CO-0077,2023-08-23,online,34178.7
TX-00078,CO-0078,2023-06-04,transferencia,34528.19
TX-00079,CO-0079,2024-03-15,transferencia,34339.75
TX-00080,CO-0080,2024-07-29,app_movil,33069.2
TX-00081,CO-0081,2024-05-29,POS,46506.58
TX-00082,CO-0082,2023-08-03,transferencia,40478.87
TX-00083,CO-0083,2024-09-23,ATM,32550.07
TX-00084,CO-0084,2023-12-01,ATM,20713.15
TX-00085,CO-0085,2024-05-18,ATM,48859.12
TX-00086,CO-0086,2023-02-01,transferencia,49394.58
TX-00087,CO-0087,2024-11-13,online,34427.87
TX-00088,CO-0088,2024-12-06,online,17154.07
TX-00089,CO-0089,2023-02-18,POS,31571.66
TX-00090,CO-0090,2023-03-05,app_movil,22744.19
TX-00091,CO-0091,2024-09-29,app_movil,7596.62
TX-00092,CO-0092,2024-09-05,transferencia,8007.08
TX-00093,CO-0093,2023-03-17,ATM,45347.67
TX-00094,CO-0094,2024-08-11,app_movil,20688.66
TX-00095,CO-0095,2023-12-21,app_movil,22028.77
TX-00096,CO-0096,2024-11-02,app_movil,41985.66
TX-00097,CO-0097,2023-05-15,transferencia,40732.1
TX-00098,CO-0098,2023-09-20,transferencia,9493.7
TX-00099,CO-0099,2023-09-01,app_movil,3850.44
TX-00100,CO-0100,2023-02-04,online,17003.42
TX-00101,CO-0101,2024-02-14,online,17340.47
TX-00102,CO-0102,2024-01-09,ATM,34851.33
TX-00103,CO-0103,2024-08-16,app_movil,46184.89
TX-00104,CO-0104,2023-04-19,app_movil,20759.27
TX-00105,CO-0105,2024-05-19,app_movil,35276.61
TX-00106,CO-0106,2023-08-17,ATM,45120.04
TX-00107,CO-0107,2023-06-11,transferencia,47175.71
TX-00108,CO-0108,2023-08-14,app_movil,21436.23
TX-00109,CO-0109,2023-09-14,app_movil,14768.95
TX-00110,CO-0110,2023-04-14,app_movil,23005.43
TX-00111,CO-0111,2023-07-18,online,40278.39
TX-00112,CO-0112,2024-04-06,online,19560.76
TX-00113,CO-0113,2024-08-27,online,29853.65
TX-00114,CO-0114,2024-05-22,app_movil,32693.58
TX-00115,CO-0115,2024-05-29,POS,25879.03
TX-00116,CO-0116,2023-04-07,ATM,10625.14
TX-00117,CO-0117,2023-10-06,app_movil,6397.72
TX-00118,CO-0118,2023-02-22,POS,16395.68
TX-00119,CO-0119,2024-09-14,app_movil,41600.82
TX-00120,CO-0120,2023-02-05,POS,33579.42
TX-00121,CO-0121,2024-12-27,online,19630.49
TX-00122,CO-0122,2024-08-09,online,42229.02
TX-00123,CO-0123,2023-04-18,POS,30223.08
TX-00124,CO-0124,2024-06-20,transferencia,24895.56
TX-00125,CO-0125,2024-11-07,POS,14696.71
TX-00126,CO-0126,2023-04-17,ATM,31516.63
TX-00127,CO-0127,2023-01-15,ATM,30062.17
TX-00128,CO-0128,2023-11-18,online,41286.32
TX-00129,CO-0129,2023-08-22,transferencia,36437.61
TX-00130,CO-0130,2024-03-04,transferencia,22388.44
TX-00131,CO-0131,2023-06-19,POS,19368.25
TX-00132,CO-0132,2023-11-14,online,44713.24
TX-00133,CO-0133,2024-04-17,app_movil,10901.2
TX-00134,CO-0134,2023-09-02,POS,9835.68
TX-00135,CO-0135,2024-12-23,transferencia,40949.05
TX-00136,CO-0136,2023-01-05,ATM,8350.54
TX-00137,CO-0137,2023-05-01,transferencia,27551.06
TX-00138,CO-0138,2023-12-16,app_movil,20753.92
TX-00139,CO-0139,2023-05-20,app_movil,3583.08
TX-00140,CO-0140,2023-03-02,ATM,43729.85
TX-00141,CO-0141,2023-10-04,app_movil,40193.32
TX-00142,CO-0142,2023-01-14,ATM,33981.98
TX-00143,CO-0143,2024-08-31,app_movil,24113.9
TX-00144,CO-0144,2023-06-29,transferencia,33122.89
TX-00145,CO-0145,2024-02-19,app_movil,9475.25
TX-00146,CO-0146,2024-12-12,online,18180.78
TX-00147,CO-0147,2023-11-04,online,17778.65
TX-00148,CO-0148,2023-11-27,transferencia,7319.37
TX-00149,CO-0149,2024-12-25,transferencia,48357.39
TX-00150,CO-0150,2023-11-19,POS,40948.54
