transaccionId,ubicacionId,fecha,distanciaUltimaTransaccion,alertaGeo
TX-00001,UB-0001,2024-10-18,4799.04,false
TX-00002,UB-0002,2024-04-02,1007.81,false
TX-00003,UB-0003,2023-08-17,2021.7,false
TX-00004,UB-0004,2023-06-08,65.12,false
TX-00005,UB-0005,2023-10-25,2294.93,false
TX-00006,UB-0006,2023-11-29,3086.38,false
TX-00007,UB-0007,2024-09-28,1950.85,false
TX-00008,UB-0008,2024-02-11,1999.82,false
TX-00009,UB-0009,2023-03-03,1518.53,false
TX-00010,UB-0010,2024-07-27,2975.47,false
TX-00011,UB-0011,2024-02-29,1664.36,false
TX-00012,UB-0012,2024-07-10,2802.02,false
TX-00013,UB-0013,2023-09-11,2853.16,false
TX-00014,UB-0014,2024-03-20,3565.6,false
TX-00015,UB-0015,2024-02-12,4187.03,false
TX-00016,UB-0016,2024-09-05,410.04,false
TX-00017,UB-0017,2024-01-27,946.92,false
TX-00018,UB-0018,2024-06-03,2701.62,false
TX-00019,UB-0019,2024-01-29,1265.93,false
TX-00020,UB-0020,2024-01-18,1144.3,false
TX-00021,UB-0021,2024-03-16,1872.9,false
TX-00022,UB-0022,2024-04-27,802.5,false
TX-00023,UB-0023,2023-02-02,2705.59,false
TX-00024,UB-0024,2024-04-19,1004.91,false
TX-00025,UB-0025,2023-12-23,4422.41,false
TX-00026,UB-0026,2024-05-31,519.94,false
TX-00027,UB-0027,2023-04-24,2637.84,false
TX-00028,UB-0028,2024-01-16,1800.81,false
TX-00029,UB-0029,2023-07-13,972.59,false
TX-00030,UB-0030,2024-06-16,4971.43,false
TX-00031,UB-0031,2024-03-18,3556.65,false
TX-00032,UB-0032,2023-11-24,1650.15,false
TX-00033,UB-0033,2024-05-03,1429.16,false
TX-00034,UB-0034,2023-09-08,3956.12,false
TX-00035,UB-0035,2024-08-15,4970.58,false
TX-00036,UB-0036,2023-12-02,1590.24,false
TX-00037,UB-0037,2024-01-05,116.74,false
TX-00038,UB-0038,2023-07-05,3688.14,false
TX-00039,UB-0039,2024-08-28,1560.31,false
TX-00040,UB-0040,2023-03-26,3763.94,false
TX-00041,UB-0041,2024-08-20,833.16,false
TX-00042,UB-0042,2023-11-26,411.5,false
TX-00043,UB-0043,2023-06-23,2128.94,false
TX-00044,UB-0044,2024-01-10,4567.8,false
TX-00045,UB-0045,2024-05-14,4720.18,false
TX-00046,UB-0046,2024-04-07,2004.76,false
TX-00047,UB-0047,2024-10-19,2699.16,false
TX-00048,UB-0048,2024-12-08,4935.45,false
TX-00049,UB-0049,2023-10-04,225.44,false
TX-00050,UB-0050,2023-08-15,1190.8,false
TX-00051,UB-0051,2024-12-02,4661.46,false
TX-00052,UB-0052,2023-07-01,4877.25,false
TX-00053,UB-0053,2023-07-26,4310.4,false
TX-00054,UB-0054,2023-12-13,3472.62,false
TX-00055,UB-0055,2024-06-04,2603.57,false
TX-00056,UB-0056,2024-03-01,3269.64,false
TX-00057,UB-0057,2023-11-05,1788.28,false
TX-00058,UB-0058,2024-10-16,2508.5,false
TX-00059,UB-0059,2023-04-30,39.92,false
TX-00060,UB-0060,2023-07-12,1038.21,false
TX-00061,UB-0061,2024-02-09,174.82,false
TX-00062,UB-0062,2024-03-15,4221.24,false
TX-00063,UB-0063,2024-12-17,97.92,false
TX-00064,UB-0064,2024-06-03,2046.74,false
TX-00065,UB-0065,2023-08-18,2540.65,false
TX-00066,UB-0066,2024-02-03,1542.2,false
TX-00067,UB-0067,2024-03-08,1957.4,false
TX-00068,UB-0068,2024-02-20,3890.79,false
TX-00069,UB-0069,2024-09-12,4318.03,false
TX-00070,UB-0070,2024-10-29,1772.35,false
TX-00071,UB-0071,2023-01-05,665.56,false
TX-00072,UB-0072,2024-03-03,4783.17,false
TX-00073,UB-0073,2023-10-24,1638.48,false
TX-00074,UB-0074,2023-01-09,4881.03,false
TX-00075,UB-0075,2023-08-12,4321.53,false
TX-00076,UB-0076,2024-12-12,581.25,false
TX-00077,UB-0077,2023-08-23,3030.19,false
TX-00078,UB-0078,2023-06-04,124.4,false
TX-00079,UB-0079,2024-03-15,3755.74,false
TX-00080,UB-0080,2024-07-29,2192.64,false
TX-00081,UB-0081,2024-05-29,1542.54,false
