transaccionId,cuentaId,monto,fecha,autorizado
TX-00001,CU-0001,40057.15,2024-10-18,true
TX-00002,CU-0002,1912.99,2024-04-02,false
TX-00003,CU-0003,22942.78,2023-08-17,false
TX-00004,CU-0004,46025.04,2023-06-08,true
TX-00005,CU-0005,27544.96,2023-10-25,true
TX-00006,CU-0006,32986.98,2023-11-29,false
TX-00007,CU-0007,45389.87,2024-09-28,false
TX-00008,CU-0008,39329.04,2024-02-11,true
TX-00009,CU-0009,2646.24,2023-03-03,false
TX-00010,CU-0010,56.06,2024-07-27,true
TX-00011,CU-0011,14150.6,2024-02-29,true
TX-00012,CU-0012,41859.46,2024-07-10,true
TX-00013,CU-0013,18762.05,2023-09-11,true
TX-00014,CU-0014,6550.74,2024-03-20,true
TX-00015,CU-0015,7045.46,2024-02-12,true
TX-00016,CU-0016,3456.7,2024-09-05,true
TX-00017,CU-0017,8986.11,2024-01-27,true
TX-00018,CU-0018,10933.42,2024-06-03,false
TX-00019,CU-0019,24053.35,2024-01-29,true
TX-00020,CU-0020,25235.12,2024-01-18,true
TX-00021,CU-0021,20987.76,2024-03-16,true
TX-00022,CU-0022,4367.22,2024-04-27,true
TX-00023,CU-0023,45426.16,2023-02-02,true
TX-00024,CU-0024,46977.73,2024-04-19,true
TX-00025,CU-0025,15564.48,2023-12-23,true
TX-00026,CU-0026,44976.72,2024-05-31,false
TX-00027,CU-0027,17917.83,2023-04-24,false
TX-00028,CU-0028,28714.17,2024-01-16,true
TX-00029,CU-0029,34560.46,2023-07-13,true
TX-00030,CU-0030,48690.5,2024-06-16,true
TX-00031,CU-0031,12527.45,2024-03-18,true
TX-00032,CU-0032,35867.89,2023-11-24,true
TX-00033,CU-0033,40750.17,2024-05-03,true
TX-00034,CU-0034,28128.73,2023-09-08,false
TX-00035,CU-0035,43938.73,2024-08-15,true
TX-00036,CU-0036,21844.75,2023-12-02,true
TX-00037,CU-0037,11452.2,2024-01-05,true
TX-00038,CU-0038,18718.23,2023-07-05,true
TX-00039,CU-0039,44701.64,2024-08-28,false
TX-00040,CU-0040,17918.24,2023-03-26,false
TX-00041,CU-0041,35346.39,2024-08-20,true
TX-00042,CU-0042,21633.62,2023-11-26,true
TX-00043,CU-0043,48427.05,2023-06-23,true
TX-00044,CU-0044,24780.8,2024-01-10,false
TX-00045,CU-0045,29400.24,2024-05-14,false
TX-00046,CU-0046,15070.05,2024-04-07,false
TX-00047,CU-0047,24509.73,2024-10-19,true
TX-00048,CU-0048,1402.66,2024-12-08,true
