clienteId,cuentaId,fechaAsignacion,esTitular,porcentajePropiedad
CL-0001,CU-0001,2022-10-05,true,100
CL-0002,CU-0002,2018-08-17,true,100
CL-0003,CU-0004,2015-06-17,true,100
CL-0003,CU-0005,2016-09-29,false,44
CL-0004,CU-0005,2020-02-29,true,100
CL-0004,CU-0006,2020-08-22,false,38
CL-0005,CU-0007,2020-01-28,true,100
CL-0006,CU-0008,2015-03-01,true,100
CL-0006,CU-0009,2016-03-14,false,50
CL-0007,CU-0010,2016-08-03,true,100
CL-0008,CU-0011,2022-02-11,true,100
CL-0008,CU-0012,2015-03-27,false,37
CL-0009,CU-0013,2021-05-28,true,100
CL-0009,CU-0014,2016-04-16,false,41
CL-0010,CU-0014,2015-03-09,true,100
CL-0011,CU-0016,2016-05-28,true,100
CL-0011,CU-0017,2019-04-08,false,63
CL-0012,CU-0017,2017-04-03,true,100
CL-0012,CU-0018,2019-08-21,false,44
CL-0013,CU-0019,2020-03-17,true,100
CL-0014,CU-0020,2023-03-11,true,100
CL-0015,CU-0022,2017-02-06,true,100
CL-0016,CU-0023,2017-12-07,true,100
CL-0016,CU-0024,2022-09-03,false,45
CL-0017,CU-0025,2017-04-10,true,100
CL-0017,CU-0026,2019-05-07,false,56
CL-0018,CU-0026,2020-09-18,true,100
CL-0018,CU-0027,2022-04-07,false,74
CL-0019,CU-0028,2021-11-08,true,100
CL-0019,CU-0029,2019-11-11,false,55
CL-0020,CU-0029,2019-05-16,true,100
CL-0020,CU-0030,2020-05-17,false,65
CL-0021,CU-0031,2019-05-02,true,100
CL-0022,CU-0032,2022-12-15,true,100
CL-0022,CU-0033,2017-03-07,false,25
CL-0023,CU-0034,2022-10-01,true,100
CL-0024,CU-0035,2017-04-24,true,100
CL-0025,CU-0037,2016-06-27,true,100
CL-0026,CU-0038,2021-11-24,true,100
CL-0026,CU-0039,2023-09-09,false,60
CL-0027,CU-0040,2016-01-23,true,100
CL-0028,CU-0041,2015-01-05,true,100
CL-0028,CU-0042,2016-12-01,false,66
CL-0029,CU-0043,2022-06-22,true,100
CL-0029,CU-0044,2020-06-05,false,32
CL-0030,CU-0044,2015-10-16,true,100
CL-0030,CU-0045,2018-04-29,false,63
CL-0031,CU-0046,2021-12-27,true,100
CL-0031,CU-0047,2016-01-21,false,59
CL-0032,CU-0047,2016-05-04,true,100
CL-0032,CU-0048,2018-06-16,false,72
CL-0033,CU-0049,2018-12-23,true,100
CL-0033,CU-0050,2019-09-27,false,32
CL-0034,CU-0050,2023-04-16,true,100
CL-0034,CU-0051,2015-06-20,false,75
CL-0035,CU-0052,2021-02-09,true,100
CL-0036,CU-0053,2021-07-16,true,100
CL-0036,CU-0054,2018-08-29,false,69
CL-0037,CU-0055,2019-06-20,true,100
CL-0038,CU-0056,2019-09-12,true,100
CL-0039,CU-0058,2016-10-07,true,100
CL-0040,CU-0059,2021-05-08,true,100
CL-0040,CU-0060,2018-07-07,false,70
CL-0041,CU-0061,2015-10-21,true,100
CL-0041,CU-0062,2018-06-10,false,74
CL-0042,CU-0062,2023-06-13,true,100
CL-0043,CU-0064,2021-05-05,true,100
CL-0044,CU-0065,2019-04-16,true,100
CL-0044,CU-0066,2015-10-14,false,68
CL-0045,CU-0067,2021-11-24,true,100
CL-0045,CU-0068,2016-11-26,false,64
CL-0046,CU-0068,2016-10-09,true,100
CL-0047,CU-0070,2020-01-25,true,100
CL-0047,CU-0071,2020-12-01,false,63
CL-0048,CU-0071,2021-02-19,true,100
CL-0049,CU-0073,2023-12-08,true,100
CL-0049,CU-0074,2015-06-27,false,52
CL-0050,CU-0074,2017-02-22,true,100
CL-0051,CU-0076,2022-11-21,true,100
CL-0052,CU-0077,2018-03-15,true,100
CL-0053,CU-0079,2023-04-06,true,100
CL-0053,CU-0080,2023-03-06,false,73
CL-0054,CU-0080,2015-11-17,true,100
CL-0055,CU-0082,2015-07-21,true,100
CL-0056,CU-0083,2020-04-04,true,100
CL-0057,CU-0085,2015-04-11,true,100
CL-0058,CU-0086,2017-08-17,true,100
CL-0059,CU-0088,2022-02-28,true,100
CL-0059,CU-0089,2021-06-06,false,46
CL-0060,CU-0089,2022-10-14,true,100
CL-0061,CU-0091,2021-08-24,true,100
CL-0062,CU-0092,2015-05-25,true,100
CL-0063,CU-0094,2016-09-16,true,100
CL-0063,CU-0095,2016-08-25,false,37
CL-0064,CU-0095,2023-11-08,true,100
CL-0065,CU-0097,2017-09-20,true,100
CL-0066,CU-0098,2023-04-03,true,100
CL-0066,CU-0099,2021-03-16,false,34
CL-0067,CU-0100,2017-07-07,true,100
CL-0068,CU-0101,2015-10-04,true,100
CL-0068,CU-0102,2016-03-08,false,69
CL-0069,CU-0103,2017-09-14,true,100
CL-0070,CU-0104,2023-07-23,true,100
CL-0070,CU-0105,2023-04-25,false,55
CL-0071,CU-0106,2021-01-25,true,100
CL-0072,CU-0107,2021-09-30,true,100
CL-0072,CU-0108,2016-10-06,false,53
CL-0073,CU-0109,2019-05-17,true,100
CL-0073,CU-0110,2019-11-28,false,59
CL-0074,CU-0110,2017-10-04,true,100
CL-0075,CU-0112,2015-02-01,true,100
CL-0075,CU-0113,2022-02-13,false,60
CL-0076,CU-0113,2017-01-16,true,100
CL-0076,CU-0114,2016-06-17,false,62
CL-0077,CU-0115,2023-07-02,true,100
CL-0077,CU-0116,2019-07-30,false,46
CL-0078,CU-0116,2018-06-01,true,100
CL-0079,CU-0118,2022-09-12,true,100
CL-0079,CU-0119,2017-12-01,false,75
CL-0080,CU-0119,2018-10-19,true,100
CL-0080,CU-0120,2020-02-26,false,42
CL-0081,CU-0121,2015-04-07,true,100
CL-0082,CU-0122,2016-09-27,true,100
CL-0082,CU-0123,2015-04-06,false,49
CL-0083,CU-0124,2018-06-21,true,100
CL-0084,CU-0125,2021-05-07,true,100
CL-0084,CU-0126,2021-11-21,false,65
CL-0085,CU-0127,2021-08-03,true,100
CL-0086,CU-0128,2016-08-01,true,100
CL-0086,CU-0129,2015-07-26,false,36
CL-0087,CU-0130,2015-09-15,true,100
CL-0088,CU-0131,2015-02-11,true,100
CL-0089,CU-0133,2020-10-21,true,100
CL-0090,CU-0134,2017-08-31,true,100
CL-0090,CU-0135,2022-04-03,false,38
CL-0091,CU-0136,2018-04-01,true,100
CL-0092,CU-0137,2021-06-30,true,100
CL-0093,CU-0139,2023-06-19,true,100
CL-0094,CU-0140,2022-11-10,true,100
CL-0095,CU-0142,2021-08-17,true,100
CL-0095,CU-0143,2019-08-08,false,40
CL-0096,CU-0143,2015-03-28,true,100
CL-0097,CU-0145,2015-01-06,true,100
CL-0097,CU-0146,2020-02-05,false,73
CL-0098,CU-0146,2021-05-29,true,100
CL-0098,CU-0147,2018-10-23,false,28
CL-0099,CU-0148,2018-03-04,true,100
CL-0099,CU-0149,2017-09-06,false,35
CL-0100,CU-0149,2016-02-01,true,100
CL-0100,CU-0150,2021-08-16,false,35
CL-0101,CU-0151,2016-08-04,true,100
CL-0102,CU-0152,2022-04-15,true,100
CL-0102,CU-0153,2017-12-16,false,73
CL-0103,CU-0154,2023-12-06,true,100
CL-0104,CU-0155,2015-12-21,true,100
CL-0104,CU-0156,2022-07-24,false,49
CL-0105,CU-0157,2022-09-02,true,100
CL-0106,CU-0158,2017-01-02,true,100
CL-0106,CU-0159,2018-01-23,false,28
CL-0107,CU-0160,2016-04-14,true,100
CL-0107,CU-0161,2022-05-05,false,66
CL-0108,CU-0161,2017-08-10,true,100
CL-0108,CU-0162,2016-06-27,false,40
CL-0109,CU-0163,2017-03-13,true,100
CL-0110,CU-0164,2015-02-27,true,100
CL-0110,CU-0165,2023-04-04,false,45
CL-0111,CU-0166,2022-12-26,true,100
CL-0111,CU-0167,2022-06-15,false,43
CL-0112,CU-0167,2015-06-04,true,100
CL-0113,CU-0169,2020-05-03,true,100
CL-0114,CU-0170,2016-10-12,true,100
CL-0114,CU-0171,2016-12-18,false,51
CL-0115,CU-0172,2021-09-27,true,100
CL-0115,CU-0173,2018-01-01,false,32
CL-0116,CU-0173,2016-06-10,true,100
CL-0116,CU-0174,2019-01-15,false,75
CL-0117,CU-0175,2020-11-26,true,100
CL-0118,CU-0176,2015-12-09,true,100
CL-0118,CU-0177,2023-12-31,false,52
CL-0119,CU-0178,2018-07-13,true,100
CL-0120,CU-0179,2020-10-18,true,100
CL-0120,CU-0180,2015-10-28,false,32
CL-0121,CU-0181,2018-03-04,true,100
CL-0121,CU-0182,2023-10-31,false,74
CL-0122,CU-0182,2023-01-05,true,100
CL-0122,CU-0183,2019-11-12,false,51
CL-0123,CU-0184,2020-05-15,true,100
CL-0123,CU-0185,2016-03-11,false,37
CL-0124,CU-0185,2022-09-05,true,100
CL-0125,CU-0187,2023-11-20,true,100
CL-0126,CU-0188,2023-09-14,true,100
CL-0127,CU-0190,2016-12-29,true,100
CL-0128,CU-0191,2018-10-18,true,100
CL-0129,CU-0193,2022-09-07,true,100
CL-0129,CU-0194,2016-05-09,false,31
CL-0130,CU-0194,2020-11-23,true,100
CL-0130,CU-0195,2015-11-29,false,32
CL-0131,CU-0196,2016-01-20,true,100
CL-0132,CU-0197,2019-04-22,true,100
CL-0132,CU-0198,2015-07-06,false,33
CL-0133,CU-0199,2023-08-04,true,100
CL-0134,CU-0200,2017-10-20,true,100
CL-0134,CU-0201,2018-10-15,false,65
CL-0135,CU-0202,2020-09-17,true,100
CL-0135,CU-0203,2016-10-29,false,57
CL-0136,CU-0203,2016-02-03,true,100
CL-0137,CU-0205,2015-07-17,true,100
CL-0137,CU-0206,2021-01-12,false,32
CL-0138,CU-0206,2022-10-10,true,100
CL-0139,CU-0208,2018-10-10,true,100
CL-0140,CU-0209,2017-07-22,true,100
CL-0140,CU-0210,2015-12-01,false,50
CL-0141,CU-0211,2019-04-16,true,100
CL-0141,CU-0212,2019-06-07,false,28
CL-0142,CU-0212,2020-01-30,true,100
CL-0143,CU-0214,2019-06-15,true,100
CL-0144,CU-0215,2020-03-12,true,100
CL-0145,CU-0217,2020-04-03,true,100
CL-0145,CU-0218,2020-09-30,false,74
CL-0146,CU-0218,2016-01-03,true,100
CL-0146,CU-0219,2021-02-11,false,29
CL-0147,CU-0220,2020-12-18,true,100
CL-0148,CU-0221,2018-06-12,true,100
CL-0149,CU-0223,2022-07-05,true,100
CL-0149,CU-0224,2019-12-23,false,72
CL-0150,CU-0224,2018-11-26,true,100
CL-0151,CU-0226,2015-02-21,true,100
CL-0152,CU-0227,2020-04-26,true,100
CL-0152,CU-0228,2017-08-10,false,25
CL-0153,CU-0229,2017-01-26,true,100
CL-0154,CU-0230,2016-01-22,true,100
CL-0155,CU-0232,2016-04-10,true,100
CL-0156,CU-0233,2022-10-26,true,100
CL-0157,CU-0235,2020-09-24,true,100
CL-0157,CU-0236,2016-12-08,false,44
CL-0158,CU-0236,2023-04-17,true,100
CL-0159,CU-0238,2023-04-11,true,100
CL-0159,CU-0239,2017-08-16,false,26
CL-0160,CU-0239,2023-07-11,true,100
CL-0160,CU-0240,2018-04-25,false,44
CL-0161,CU-0241,2021-05-11,true,100
CL-0161,CU-0242,2020-03-17,false,59
CL-0162,CU-0242,2016-08-23,true,100
CL-0162,CU-0243,2023-12-07,false,45
CL-0163,CU-0244,2017-06-24,true,100
CL-0163,CU-0245,2018-05-15,false,62
CL-0164,CU-0245,2023-07-13,true,100
CL-0165,CU-0247,2016-01-10,true,100
CL-0166,CU-0248,2019-09-16,true,100
CL-0166,CU-0249,2020-11-24,false,71
CL-0167,CU-0250,2017-10-07,true,100
CL-0168,CU-0251,2019-01-13,true,100
CL-0168,CU-0252,2015-01-30,false,28
CL-0169,CU-0253,2016-03-01,true,100
CL-0169,CU-0254,2021-12-08,false,48
CL-0170,CU-0254,2022-06-23,true,100
CL-0171,CU-0256,2017-03-22,true,100
CL-0172,CU-0257,2017-05-28,true,100
CL-0173,CU-0259,2019-12-21,true,100
CL-0174,CU-0260,2019-05-18,true,100
CL-0174,CU-0261,2015-10-16,false,55
CL-0175,CU-0262,2019-05-05,true,100
CL-0176,CU-0263,2019-05-08,true,100
CL-0177,CU-0265,2021-03-28,true,100
CL-0177,CU-0266,2023-03-25,false,42
CL-0178,CU-0266,2018-06-27,true,100
CL-0178,CU-0267,2023-12-06,false,69
CL-0179,CU-0268,2023-12-05,true,100
