clienteId,transaccionId,fecha,canal,ipOrigen
CL-0001,TX-00001,2024-10-18,online,220.65.5.237
CL-0002,TX-00002,2024-04-02,transferencia,223.83.161.127
CL-0003,TX-00003,2023-08-17,online,193.54.229.57
CL-0004,TX-00004,2023-06-08,online,159.36.101.202
CL-0005,TX-00005,2023-10-25,online,181.205.64.160
CL-0006,TX-00006,2023-11-29,POS,172.94.107.246
CL-0007,TX-00007,2024-09-28,transferencia,76.25.216.163
CL-0008,TX-00008,2024-02-11,ATM,215.119.141.66
CL-0009,TX-00009,2023-03-03,transferencia,200.39.225.136
CL-0010,TX-00010,2024-07-27,POS,172.176.8.3
CL-0011,TX-00011,2024-02-29,POS,140.67.55.60
CL-0012,TX-00012,2024-07-10,online,191.7.62.52
CL-0013,TX-00013,2023-09-11,transferencia,56.151.214.223
CL-0014,TX-00014,2024-03-20,POS,176.31.158.147
CL-0015,TX-00015,2024-02-12,transferencia,55.216.249.105
CL-0016,TX-00016,2024-09-05,app_movil,2.13.133.229
CL-0017,TX-00017,2024-01-27,ATM,59.74.33.34
CL-0018,TX-00018,2024-06-03,ATM,74.21.232.22
CL-0019,TX-00019,2024-01-29,transferencia,49.200.134.191
CL-0020,TX-00020,2024-01-18,ATM,25.190.216.229
CL-0021,TX-00021,2024-03-16,online,192.130.31.90
CL-0022,TX-00022,2024-04-27,transferencia,104.69.131.49
CL-0023,TX-00023,2023-02-02,ATM,93.64.99.132
CL-0024,TX-00024,2024-04-19,app_movil,38.135.228.160
CL-0025,TX-00025,2023-12-23,app_movil,23.138.47.185
CL-0026,TX-00026,2024-05-31,ATM,175.122.61.41
CL-0027,TX-00027,2023-04-24,online,51.175.205.149
CL-0028,TX-00028,2024-01-16,transferencia,98.255.168.23
CL-0029,TX-00029,2023-07-13,ATM,107.59.136.149
CL-0030,TX-00030,2024-06-16,POS,45.31.239.110
CL-0031,TX-00031,2024-03-18,ATM,44.157.14.150
CL-0032,TX-00032,2023-11-24,app_movil,12.130.122.31
CL-0033,TX-00033,2024-05-03,online,176.50.109.167
