transaccionId1,transaccionId2,similitudScore,tipoPatron,fechaDeteccion
TX-00001,TX-00006,0.74,monto_similar,2024-02-09
TX-00003,TX-00006,0.966,mismo_dispositivo,2024-05-30
TX-00004,TX-00006,0.714,monto_similar,2024-08-16
TX-00005,TX-00011,0.807,mismo_comercio,2024-10-20
TX-00006,TX-00012,0.987,mismo_comercio,2024-06-27
TX-00007,TX-00016,0.724,monto_similar,2024-06-02
TX-00008,TX-00012,0.93,mismo_dispositivo,2024-05-18
TX-00011,TX-00019,0.981,mismo_comercio,2024-07-13
TX-00012,TX-00016,0.77,mismo_dispositivo,2024-12-23
TX-00013,TX-00023,0.815,mismo_dispositivo,2024-05-06
TX-00016,TX-00023,0.865,mismo_comercio,2024-03-02
TX-00019,TX-00021,0.989,monto_similar,2024-05-13
TX-00020,TX-00024,0.995,mismo_comercio,2024-09-11
TX-00021,TX-00026,0.845,mismo_dispositivo,2024-11-24
TX-00023,TX-00026,0.717,mismo_dispositivo,2024-06-27
TX-00024,TX-00025,0.819,mismo_dispositivo,2024-11-02
TX-00025,TX-00027,0.805,monto_similar,2024-11-05
TX-00026,TX-00027,0.726,mismo_dispositivo,2024-07-10
TX-00027,TX-00032,0.803,monto_similar,2024-11-11
TX-00028,TX-00030,0.837,mismo_dispositivo,2024-03-04
TX-00029,TX-00032,0.822,mismo_comercio,2024-12-14
TX-00030,TX-00036,0.703,mismo_dispositivo,2024-05-16
TX-00032,TX-00036,0.844,mismo_dispositivo,2024-04-22
TX-00033,TX-00035,0.867,mismo_dispositivo,2024-06-22
TX-00034,TX-00035,0.745,mismo_comercio,2024-10-13
TX-00035,TX-00040,0.988,monto_similar,2024-12-11
TX-00036,TX-00041,0.761,mismo_dispositivo,2024-02-25
TX-00038,TX-00041,0.974,monto_similar,2024-06-11
TX-00039,TX-00040,0.758,mismo_dispositivo,2024-08-18
TX-00040,TX-00045,0.992,mismo_comercio,2024-02-11
TX-00041,TX-00044,0.945,monto_similar,2024-01-09
TX-00042,TX-00043,0.722,mismo_dispositivo,2024-01-13
TX-00043,TX-00047,0.848,mismo_comercio,2024-04-27
TX-00044,TX-00049,0.863,monto_similar,2024-12-12
TX-00045,TX-00047,0.836,mismo_dispositivo,2024-06-07
TX-00046,TX-00052,0.825,monto_similar,2024-06-20
TX-00047,TX-00052,0.859,mismo_comercio,2024-10-26
TX-00049,TX-00054,0.93,mismo_dispositivo,2024-06-04
TX-00050,TX-00052,0.701,monto_similar,2024-02-08
TX-00052,TX-00053,0.807,monto_similar,2024-02-16
TX-00053,TX-00055,0.779,mismo_dispositivo,2024-09-02
TX-00054,TX-00059,0.917,mismo_comercio,2024-09-24
TX-00055,TX-00060,0.91,monto_similar,2024-11-10
TX-00056,TX-00063,0.817,mismo_comercio,2024-05-28
TX-00057,TX-00062,0.76,mismo_dispositivo,2024-04-12
TX-00059,TX-00064,0.768,monto_similar,2024-01-24
TX-00060,TX-00065,0.947,mismo_comercio,2024-08-12
TX-00062,TX-00066,0.708,monto_similar,2024-02-14
TX-00063,TX-00064,0.841,mismo_comercio,2024-04-07
TX-00064,TX-00067,0.774,mismo_dispositivo,2024-07-28
TX-00065,TX-00068,0.724,mismo_comercio,2024-02-16
TX-00066,TX-00068,0.844,mismo_comercio,2024-09-02
TX-00067,TX-00073,0.861,monto_similar,2024-03-30
TX-00068,TX-00073,0.926,monto_similar,2024-11-10
TX-00069,TX-00076,0.954,monto_similar,2024-06-18
TX-00070,TX-00073,0.971,monto_similar,2024-03-20
TX-00071,TX-00073,0.986,mismo_dispositivo,2024-08-20
TX-00073,TX-00077,0.802,mismo_dispositivo,2024-07-23
TX-00074,TX-00079,0.961,monto_similar,2024-01-06
TX-00076,TX-00079,0.842,mismo_dispositivo,2024-10-07
TX-00077,TX-00081,0.713,monto_similar,2024-03-08
TX-00078,TX-00083,0.706,mismo_dispositivo,2024-08-22
TX-00079,TX-00080,0.757,monto_similar,2024-03-02
TX-00080,TX-00084,0.759,mismo_comercio,2024-02-07
TX-00081,TX-00082,0.727,mismo_dispositivo,2024-04-12
TX-00082,TX-00083,0.731,monto_similar,2024-06-24
TX-00083,TX-00085,0.959,mismo_comercio,2024-10-11
TX-00084,TX-00085,0.714,mismo_dispositivo,2024-06-16
TX-00085,TX-00089,0.968,mismo_dispositivo,2024-09-29
TX-00086,TX-00090,0.758,mismo_dispositivo,2024-12-03
