clienteId,tarjetaId,fechaAsignacion,esTitular,limitePersonal
CL-0001,TJ-0001,2021-01-16,true,12524.94
CL-0002,TJ-0002,2022-04-24,true,18019.28
CL-0003,TJ-0003,2020-12-23,true,48301.02
CL-0004,TJ-0004,2021-07-11,true,4934.33
CL-0005,TJ-0005,2023-10-06,true,30784.88
CL-0006,TJ-0006,2023-08-15,true,6905.08
CL-0007,TJ-0007,2023-06-19,true,25528.68
CL-0008,TJ-0008,2021-09-15,true,43076.96
CL-0009,TJ-0009,2018-09-24,true,49551.64
CL-0010,TJ-0010,2019-04-07,true,17971.39
CL-0011,TJ-0011,2020-09-03,true,20634.59
CL-0012,TJ-0012,2018-06-17,true,44732.78
CL-0013,TJ-0013,2020-05-24,true,14216.2
CL-0014,TJ-0014,2020-11-16,true,27158.08
CL-0015,TJ-0015,2020-04-19,true,2402.34
CL-0016,TJ-0016,2021-03-07,true,31233.9
CL-0017,TJ-0017,2018-07-22,true,26701.1
CL-0018,TJ-0018,2018-10-12,true,2639.5
CL-0019,TJ-0019,2018-01-24,true,21403.56
CL-0020,TJ-0020,2021-08-27,true,20635.65
CL-0021,TJ-0021,2019-01-18,true,30541.02
CL-0022,TJ-0022,2020-06-03,true,10222.14
CL-0023,TJ-0023,2020-02-20,true,5202.22
CL-0024,TJ-0024,2023-04-12,true,29866.06
CL-0025,TJ-0025,2019-11-21,true,20078.49
CL-0026,TJ-0026,2022-04-26,true,15115.08
CL-0027,TJ-0027,2020-08-31,true,35673.16
CL-0028,TJ-0028,2023-01-05,true,18002.26
CL-0029,TJ-0029,2021-10-11,true,28632.38
CL-0030,TJ-0030,2018-04-21,true,33118.56
CL-0031,TJ-0031,2022-10-30,true,14626.37
CL-0032,TJ-0032,2023-10-15,true,6651.17
CL-0033,TJ-0033,2022-03-19,true,22923.38
CL-0034,TJ-0034,2018-08-24,true,29185.99
CL-0035,TJ-0035,2022-12-14,true,31568.51
CL-0036,TJ-0036,2022-02-22,true,5799.6
CL-0037,TJ-0037,2021-08-28,true,30660.15
CL-0038,TJ-0038,2018-04-15,true,27475.1
CL-0039,TJ-0039,2021-09-06,true,11541.85
CL-0040,TJ-0040,2023-08-06,true,15175.86
CL-0041,TJ-0041,2021-01-17,true,18339.47
CL-0042,TJ-0042,2022-01-03,true,35927.02
CL-0043,TJ-0043,2020-03-12,true,30103.53
CL-0044,TJ-0044,2018-12-15,true,26736.3
CL-0045,TJ-0045,2022-11-16,true,19875.58
CL-0046,TJ-0046,2021-09-22,true,13548.18
CL-0047,TJ-0047,2020-10-03,true,13532.38
CL-0048,TJ-0048,2023-03-09,true,47817.48
CL-0049,TJ-0049,2019-03-11,true,39859.39
CL-0050,TJ-0050,2022-08-08,true,26343.3
CL-0051,TJ-0051,2023-10-07,true,36871.92
CL-0052,TJ-0052,2018-01-30,true,23979.1
CL-0053,TJ-0053,2022-03-20,true,49669.54
CL-0054,TJ-0054,2020-09-03,true,9615.99
CL-0055,TJ-0055,2018-11-28,true,30312.9
CL-0056,TJ-0056,2018-06-13,true,31780.74
CL-0057,TJ-0057,2020-06-11,true,2121.04
CL-0058,TJ-0058,2023-11-22,true,6912.74
CL-0059,TJ-0059,2022-10-02,true,7300.4
CL-0060,TJ-0060,2019-12-09,true,17025.98
CL-0061,TJ-0061,2023-12-16,true,27669.31
CL-0062,TJ-0062,2018-12-14,true,32694.34
CL-0063,TJ-0063,2019-04-22,true,9105.32
CL-0064,TJ-0064,2022-12-07,true,23704.83
CL-0065,TJ-0065,2019-02-08,true,44252.12
CL-0066,TJ-0066,2019-01-26,true,27730.41
CL-0067,TJ-0067,2023-01-17,true,49876.87
CL-0068,TJ-0068,2020-12-25,true,16241.85
CL-0069,TJ-0069,2020-12-14,true,20062.6
CL-0070,TJ-0070,2022-11-16,true,39376.3
CL-0071,TJ-0071,2018-03-21,true,3993.82
CL-0072,TJ-0072,2019-07-24,true,40419.32
CL-0073,TJ-0073,2021-11-14,true,30805.03
CL-0074,TJ-0074,2022-08-12,true,16462.77
CL-0075,TJ-0075,2019-01-14,true,9997.65
CL-0076,TJ-0076,2020-11-17,true,15614.7
CL-0077,TJ-0077,2021-12-04,true,27708.1
CL-0078,TJ-0078,2022-12-10,true,28840.72
CL-0079,TJ-0079,2021-12-16,true,5298.42
CL-0080,TJ-0080,2022-05-21,true,4124.56
CL-0081,TJ-0081,2018-03-15,true,48545.07
CL-0082,TJ-0082,2018-10-01,true,49331.66
CL-0083,TJ-0083,2020-12-19,true,2374.52
CL-0084,TJ-0084,2018-03-29,true,17401.75
CL-0085,TJ-0085,2021-05-16,true,16251.8
CL-0086,TJ-0086,2022-09-28,true,9328.15
CL-0087,TJ-0087,2022-03-13,true,8089.01
CL-0088,TJ-0088,2019-03-25,true,21629.19
CL-0089,TJ-0089,2020-10-05,true,28031.16
CL-0090,TJ-0090,2023-02-14,true,41017.77
CL-0091,TJ-0091,2020-06-08,true,39913.65
CL-0092,TJ-0092,2018-07-17,true,23416.89
CL-0093,TJ-0093,2022-07-12,true,20128.34
CL-0094,TJ-0094,2022-07-06,true,24817.25
CL-0095,TJ-0095,2019-09-14,true,42495.65
CL-0096,TJ-0096,2021-05-03,true,9905.06
CL-0097,TJ-0097,2020-09-12,true,6085.58
CL-0098,TJ-0098,2021-08-06,true,24560.01
CL-0099,TJ-0099,2023-07-16,true,1443.69
CL-0100,TJ-0100,2021-11-22,true,39396.21
CL-0101,TJ-0101,2018-09-27,true,6020.91
CL-0102,TJ-0102,2019-06-21,true,14595.26
CL-0103,TJ-0103,2018-08-28,true,39989.45
CL-0104,TJ-0104,2022-11-28,true,27982.48
CL-0105,TJ-0105,2022-11-20,true,11963.18
CL-0106,TJ-0106,2018-06-24,true,34104.78
CL-0107,TJ-0107,2022-09-23,true,37011.55
CL-0108,TJ-0108,2018-07-19,true,43845.42
CL-0109,TJ-0109,2019-07-24,true,49597.95
CL-0110,TJ-0110,2023-02-26,true,6868.35
CL-0111,TJ-0111,2022-09-10,true,21341.24
CL-0112,TJ-0112,2020-04-25,true,42970.69
CL-0113,TJ-0113,2020-07-26,true,18548.13
CL-0114,TJ-0114,2022-09-15,true,1059.92
CL-0115,TJ-0115,2023-03-04,true,49871.97
CL-0116,TJ-0116,2023-01-07,true,9496.62
CL-0117,TJ-0117,2022-09-03,true,17822.27
CL-0118,TJ-0118,2023-08-31,true,4299.45
CL-0119,TJ-0119,2020-04-15,true,7231.51
CL-0120,TJ-0120,2022-11-16,true,5830.83
CL-0121,TJ-0121,2021-10-06,true,33128.57
CL-0122,TJ-0122,2020-11-30,true,46950.03
CL-0123,TJ-0123,2023-01-28,true,46100.75
CL-0124,TJ-0124,2018-01-23,true,5029.4
CL-0125,TJ-0125,2019-06-09,true,11477.79
CL-0126,TJ-0126,2019-06-28,true,32538.51
CL-0127,TJ-0127,2018-08-24,true,3525.06
CL-0128,TJ-0128,2021-08-21,true,43249.77
CL-0129,TJ-0129,2020-07-01,true,3111.36
CL-0130,TJ-0130,2022-06-23,true,24081.26
CL-0131,TJ-0131,2021-06-19,true,1836.6
CL-0132,TJ-0132,2023-01-31,true,5600.68
CL-0133,TJ-0133,2022-03-05,true,11783.95
CL-0134,TJ-0134,2019-04-09,true,38248.54
CL-0135,TJ-0135,2021-10-25,true,20776.79
CL-0136,TJ-0136,2023-09-09,true,11776.13
CL-0137,TJ-0137,2022-08-26,true,9707.56
CL-0138,TJ-0138,2023-03-03,true,17634.75
CL-0139,TJ-0139,2019-03-13,true,39055.8
CL-0140,TJ-0140,2020-11-25,true,27603.4
CL-0141,TJ-0141,2020-08-27,true,12649.88
CL-0142,TJ-0142,2021-03-24,true,28572.9
CL-0143,TJ-0143,2019-03-30,true,17886.48
CL-0144,TJ-0144,2022-08-27,true,13417.22
CL-0145,TJ-0145,2023-11-04,true,23873.99
CL-0146,TJ-0146,2018-09-16,true,19532.13
CL-0147,TJ-0147,2020-03-06,true,32823.76
CL-0148,TJ-0148,2020-05-07,true,36214.18
CL-0149,TJ-0149,2020-04-29,true,49742.59
CL-0150,TJ-0150,2019-10-22,true,5707.47
CL-0151,TJ-0151,2023-10-05,true,3270.93
CL-0152,TJ-0152,2018-01-13,true,5686.96
CL-0153,TJ-0153,2019-10-01,true,43597.77
CL-0154,TJ-0154,2018-12-09,true,41759.09
CL-0155,TJ-0155,2021-10-01,true,17474.65
CL-0156,TJ-0156,2020-12-12,true,48475.78
CL-0157,TJ-0157,2018-12-25,true,44987.29
CL-0158,TJ-0158,2022-02-15,true,5921.08
CL-0159,TJ-0159,2019-03-02,true,27692.07
CL-0160,TJ-0160,2020-02-20,true,48170.32
CL-0161,TJ-0161,2020-03-09,true,15227.94
CL-0162,TJ-0162,2018-11-16,true,23988.92
CL-0163,TJ-0163,2018-10-24,true,30051.63
