transaccionId,dispositivoId,fecha,ipUsada,exitosa
TX-00001,DV-0001,2024-10-18,50.193.194.14,true
TX-00002,DV-0002,2024-04-02,149.51.236.200,false
TX-00003,DV-0003,2023-08-17,33.204.190.33,false
TX-00004,DV-0004,2023-06-08,90.190.246.114,true
TX-00005,DV-0005,2023-10-25,130.102.126.147,true
TX-00006,DV-0006,2023-11-29,73.191.68.40,false
TX-00007,DV-0007,2024-09-28,139.48.251.105,false
TX-00008,DV-0008,2024-02-11,209.174.92.169,true
TX-00009,DV-0009,2023-03-03,27.7.85.9,false
TX-00010,DV-0010,2024-07-27,57.105.231.152,true
TX-00011,DV-0011,2024-02-29,19.217.200.223,true
TX-00012,DV-0012,2024-07-10,137.247.24.159,true
TX-00013,DV-0013,2023-09-11,49.3.64.134,true
TX-00014,DV-0014,2024-03-20,87.11.207.8,true
TX-00015,DV-0015,2024-02-12,86.236.13.199,true
TX-00016,DV-0016,2024-09-05,177.25.74.114,true
TX-00017,DV-0017,2024-01-27,216.17.238.242,true
TX-00018,DV-0018,2024-06-03,18.174.156.197,false
TX-00019,DV-0019,2024-01-29,140.23.106.183,true
TX-00020,DV-0020,2024-01-18,204.147.104.79,true
TX-00021,DV-0021,2024-03-16,59.135.86.119,true
TX-00022,DV-0022,2024-04-27,112.161.116.62,true
TX-00023,DV-0023,2023-02-02,205.200.229.120,true
TX-00024,DV-0024,2024-04-19,33.225.131.97,true
TX-00025,DV-0025,2023-12-23,117.121.229.214,true
TX-00026,DV-0026,2024-05-31,139.15.129.6,false
TX-00027,DV-0027,2023-04-24,183.126.80.6,false
TX-00028,DV-0028,2024-01-16,114.165.44.46,true
TX-00029,DV-0029,2023-07-13,4.251.195.32,true
TX-00030,DV-0030,2024-06-16,67.250.132.10,true
TX-00031,DV-0031,2024-03-18,151.160.22.0,true
TX-00032,DV-0032,2023-11-24,77.112.101.253,true
TX-00033,DV-0033,2024-05-03,104.150.242.2,true
TX-00034,DV-0034,2023-09-08,39.159.236.31,false
TX-00035,DV-0035,2024-08-15,175.173.251.145,true
TX-00036,DV-0036,2023-12-02,155.214.149.149,true
TX-00037,DV-0037,2024-01-05,156.49.85.59,true
TX-00038,DV-0038,2023-07-05,185.100.110.167,true
TX-00039,DV-0039,2024-08-28,115.153.131.9,false
TX-00040,DV-0040,2023-03-26,135.134.166.141,false
TX-00041,DV-0041,2024-08-20,206.134.250.112,true
TX-00042,DV-0042,2023-11-26,105.196.106.127,true
TX-00043,DV-0043,2023-06-23,119.41.103.73,true
TX-00044,DV-0044,2024-01-10,158.58.139.186,false
TX-00045,DV-0045,2024-05-14,171.156.146.37,false
TX-00046,DV-0046,2024-04-07,174.248.211.227,false
TX-00047,DV-0047,2024-10-19,138.254.204.84,true
TX-00048,DV-0048,2024-12-08,3.66.88.141,true
TX-00049,DV-0049,2023-10-04,71.55.131.146,true
TX-00050,DV-0050,2023-08-15,32.29.113.198,true
TX-00051,DV-0051,2024-12-02,34.223.249.173,true
TX-00052,DV-0052,2023-07-01,71.97.56.166,false
TX-00053,DV-0053,2023-07-26,151.47.118.252,true
TX-00054,DV-0054,2023-12-13,167.92.116.193,false
TX-00055,DV-0055,2024-06-04,157.193.166.47,true
TX-00056,DV-0056,2024-03-01,34.21.89.141,true
TX-00057,DV-0057,2023-11-05,164.231.238.166,false
TX-00058,DV-0058,2024-10-16,39.8.92.194,true
TX-00059,DV-0059,2023-04-30,213.206.169.168,false
TX-00060,DV-0060,2023-07-12,182.17.238.213,true
TX-00061,DV-0061,2024-02-09,133.3.48.235,false
TX-00062,DV-0062,2024-03-15,10.159.21.176,true
TX-00063,DV-0063,2024-12-17,109.128.75.170,false
TX-00064,DV-0064,2024-06-03,48.19.195.105,true
TX-00065,DV-0065,2023-08-18,201.21.180.47,true
TX-00066,DV-0066,2024-02-03,180.141.153.222,true
TX-00067,DV-0067,2024-03-08,114.9.154.180,true
TX-00068,DV-0068,2024-02-20,96.117.116.89,true
TX-00069,DV-0069,2024-09-12,20.150.77.20,true
TX-00070,DV-0070,2024-10-29,83.76.75.20,false
TX-00071,DV-0071,2023-01-05,49.79.128.66,true
TX-00072,DV-0072,2024-03-03,74.126.12.162,true
TX-00073,DV-0073,2023-10-24,60.145.145.198,true
TX-00074,DV-0074,2023-01-09,187.118.134.136,true
TX-00075,DV-0075,2023-08-12,200.145.81.47,true
TX-00076,DV-0076,2024-12-12,136.187.238.150,false
TX-00077,DV-0077,2023-08-23,215.166.25.69,true
TX-00078,DV-0078,2023-06-04,61.246.123.202,true
TX-00079,DV-0079,2024-03-15,196.239.85.174,false
TX-00080,DV-0080,2024-07-29,46.228.31.29,true
TX-00081,DV-0081,2024-05-29,2.0.250.2,true
TX-00082,DV-0082,2023-08-03,188.49.38.112,true
TX-00083,DV-0083,2024-09-23,175.114.234.210,true
TX-00084,DV-0084,2023-12-01,192.204.254.62,true
TX-00085,DV-0085,2024-05-18,2.214.48.76,true
TX-00086,DV-0086,2023-02-01,223.246.206.124,true
TX-00087,DV-0087,2024-11-13,12.206.150.14,true
TX-00088,DV-0088,2024-12-06,59.54.42.138,true
TX-00089,DV-0089,2023-02-18,86.112.37.162,true
TX-00090,DV-0090,2023-03-05,51.28.77.214,true
TX-00091,DV-0091,2024-09-29,156.121.135.213,true
TX-00092,DV-0092,2024-09-05,35.183.186.241,true
TX-00093,DV-0093,2023-03-17,14.59.243.209,true
TX-00094,DV-0094,2024-08-11,8.183.38.78,true
TX-00095,DV-0095,2023-12-21,106.232.224.99,true
TX-00096,DV-0096,2024-11-02,153.179.15.101,false
TX-00097,DV-0097,2023-05-15,96.1.154.69,true
TX-00098,DV-0098,2023-09-20,190.29.234.244,false
TX-00099,DV-0099,2023-09-01,199.3.151.137,true
TX-00100,DV-0100,2023-02-04,11.242.117.193,false
TX-00101,DV-0101,2024-02-14,12.121.184.32,false
TX-00102,DV-0102,2024-01-09,109.166.149.244,true
TX-00103,DV-0103,2024-08-16,144.68.46.15,false
TX-00104,DV-0104,2023-04-19,97.201.104.206,true
TX-00105,DV-0105,2024-05-19,92.144.7.208,true
TX-00106,DV-0106,2023-08-17,119.199.75.235,true
TX-00107,DV-0107,2023-06-11,215.41.66.197,true
TX-00108,DV-0108,2023-08-14,28.23.92.208,true
TX-00109,DV-0109,2023-09-14,72.214.105.178,true
TX-00110,DV-0110,2023-04-14,162.147.185.153,true
TX-00111,DV-0111,2023-07-18,151.77.92.51,true
TX-00112,DV-0112,2024-04-06,28.173.128.128,true
TX-00113,DV-0113,2024-08-27,169.66.163.26,true
TX-00114,DV-0114,2024-05-22,118.96.54.146,true
TX-00115,DV-0115,2024-05-29,111.152.97.89,true
TX-00116,DV-0116,2023-04-07,112.34.135.34,true
TX-00117,DV-0117,2023-10-06,199.180.1.105,false
TX-00118,DV-0118,2023-02-22,138.49.250.232,false
TX-00119,DV-0119,2024-09-14,109.214.42.53,false
TX-00120,DV-0120,2023-02-05,142.84.141.103,true
TX-00121,DV-0121,2024-12-27,82.26.102.136,true
TX-00122,DV-0122,2024-08-09,84.43.142.98,true
TX-00123,DV-0123,2023-04-18,192.207.129.10,true
TX-00124,DV-0124,2024-06-20,152.209.166.185,true
TX-00125,DV-0125,2024-11-07,139.76.24.160,true
TX-00126,DV-0126,2023-04-17,83.113.161.46,true
TX-00127,DV-0127,2023-01-15,204.185.135.184,true
TX-00128,DV-0128,2023-11-18,183.167.130.209,true
TX-00129,DV-0129,2023-08-22,95.183.232.251,true
TX-00130,DV-0130,2024-03-04,69.91.223.176,true
TX-00131,DV-0131,2023-06-19,22.146.173.113,false
TX-00132,DV-0132,2023-11-14,27.214.248.153,true
TX-00133,DV-0133,2024-04-17,167.132.250.105,true
TX-00134,DV-0134,2023-09-02,1.210.84.207,true
TX-00135,DV-0135,2024-12-23,165.14.109.16,true
TX-00136,DV-0136,2023-01-05,170.124.44.172,false
TX-00137,DV-0137,2023-05-01,15.173.252.94,false
TX-00138,DV-0138,2023-12-16,30.9.102.5,true
TX-00139,DV-0139,2023-05-20,21.168.143.4,true
TX-00140,DV-0140,2023-03-02,1.221.57.226,true
TX-00141,DV-0141,2023-10-04,161.32.82.50,false
TX-00142,DV-0142,2023-01-14,24.208.235.49,true
TX-00143,DV-0143,2024-08-31,190.29.13.5,true
TX-00144,DV-0144,2023-06-29,95.131.211.231,true
TX-00145,DV-0145,2024-02-19,66.154.3.169,false
TX-00146,DV-0146,2024-12-12,68.95.200.78,true
TX-00147,DV-0147,2023-11-04,92.90.232.33,true
TX-00148,DV-0148,2023-11-27,146.119.92.59,true
TX-00149,DV-0149,2024-12-25,124.203.232.123,true
TX-00150,DV-0150,2023-11-19,160.173.17.129,true
TX-00151,DV-0151,2023-03-18,210.116.16.74,false
TX-00152,DV-0152,2024-10-26,119.102.0.158,true
TX-00153,DV-0153,2024-07-11,34.173.207.210,false
TX-00154,DV-0154,2023-11-28,31.109.46.19,false
TX-00155,DV-0155,2023-02-22,105.159.87.109,false
TX-00156,DV-0156,2023-09-04,209.4.109.97,true
TX-00157,DV-0157,2024-01-04,18.97.102.217,true
TX-00158,DV-0158,2023-12-12,14.72.160.118,true
TX-00159,DV-0159,2024-07-10,205.14.200.185,false
TX-00160,DV-0160,2023-05-29,32.38.45.183,false
TX-00161,DV-0161,2023-06-14,217.83.242.194,true
TX-00162,DV-0162,2023-09-14,96.221.54.24,false
TX-00163,DV-0163,2023-08-03,134.19.105.179,false
TX-00164,DV-0164,2024-03-30,90.5.99.16,true
TX-00165,DV-0165,2023-07-13,78.91.251.71,true
TX-00166,DV-0166,2024-12-30,169.195.35.36,true
TX-00167,DV-0167,2023-09-04,61.131.133.87,true
TX-00168,DV-0168,2023-12-16,159.25.28.140,false
TX-00169,DV-0169,2024-06-26,25.43.79.71,false
TX-00170,DV-0170,2023-12-22,171.180.44.79,true
TX-00171,DV-0171,2024-05-01,166.93.122.191,true
TX-00172,DV-0172,2024-08-16,6.147.55.27,false
