clienteId,ubicacionId,fechaRegistro,esDomicilio,verificado
CL-0001,UB-0001,2017-10-06,true,true
CL-0002,UB-0002,2017-10-11,true,false
CL-0003,UB-0003,2021-07-08,true,true
CL-0004,UB-0004,2016-08-28,true,true
CL-0005,UB-0005,2016-09-27,true,true
CL-0006,UB-0006,2023-09-08,true,false
CL-0007,UB-0007,2020-04-26,true,true
CL-0008,UB-0008,2019-02-14,true,true
CL-0009,UB-0009,2017-02-25,true,true
CL-0010,UB-0010,2020-07-02,true,true
CL-0011,UB-0011,2022-12-08,true,true
CL-0012,UB-0012,2018-04-06,true,true
CL-0013,UB-0013,2023-10-23,true,false
CL-0014,UB-0014,2018-11-02,true,false
CL-0015,UB-0015,2023-08-04,true,true
CL-0016,UB-0016,2021-07-04,true,true
CL-0017,UB-0017,2016-10-13,true,true
CL-0018,UB-0018,2023-05-13,true,true
CL-0019,UB-0019,2017-08-30,true,true
CL-0020,UB-0020,2021-06-24,true,true
CL-0021,UB-0021,2015-06-11,true,true
CL-0022,UB-0022,2021-12-01,true,true
CL-0023,UB-0023,2019-01-30,true,false
CL-0024,UB-0024,2016-01-19,true,false
CL-0025,UB-0025,2017-09-12,true,true
CL-0026,UB-0026,2021-05-17,true,true
CL-0027,UB-0027,2023-08-20,true,true
CL-0028,UB-0028,2023-08-19,true,true
CL-0029,UB-0029,2018-09-25,true,true
CL-0030,UB-0030,2016-02-16,true,false
CL-0031,UB-0031,2015-02-09,true,true
CL-0032,UB-0032,2020-04-18,true,true
CL-0033,UB-0033,2019-04-01,true,true
CL-0034,UB-0034,2018-05-20,true,true
CL-0035,UB-0035,2020-03-21,true,true
CL-0036,UB-0036,2020-06-27,true,false
CL-0037,UB-0037,2019-06-08,true,true
CL-0038,UB-0038,2016-09-29,true,false
CL-0039,UB-0039,2019-08-22,true,true
CL-0040,UB-0040,2023-09-13,true,true
CL-0041,UB-0041,2019-11-16,true,false
CL-0042,UB-0042,2017-03-23,true,false
CL-0043,UB-0043,2015-09-18,true,true
CL-0044,UB-0044,2015-11-29,true,true
CL-0045,UB-0045,2016-06-26,true,true
CL-0046,UB-0046,2021-01-25,true,true
CL-0047,UB-0047,2018-06-30,true,true
CL-0048,UB-0048,2018-02-03,true,false
CL-0049,UB-0049,2016-07-19,true,true
CL-0050,UB-0050,2018-01-18,true,false
CL-0051,UB-0051,2017-11-09,true,true
CL-0052,UB-0052,2017-01-19,true,false
CL-0053,UB-0053,2019-02-23,true,true
CL-0054,UB-0054,2016-07-12,true,true
CL-0055,UB-0055,2021-12-29,true,false
CL-0056,UB-0056,2022-01-24,true,false
CL-0057,UB-0057,2018-05-24,true,true
CL-0058,UB-0058,2022-07-10,true,false
CL-0059,UB-0059,2022-07-24,true,true
CL-0060,UB-0060,2016-11-01,true,true
CL-0061,UB-0061,2022-07-05,true,true
CL-0062,UB-0062,2020-09-12,true,true
CL-0063,UB-0063,2016-06-21,true,true
CL-0064,UB-0064,2018-03-16,true,true
CL-0065,UB-0065,2020-11-03,true,false
CL-0066,UB-0066,2016-11-08,true,true
CL-0067,UB-0067,2023-04-17,true,false
CL-0068,UB-0068,2022-01-14,true,true
CL-0069,UB-0069,2015-08-23,true,true
CL-0070,UB-0070,2022-10-23,true,false
CL-0071,UB-0071,2022-09-19,true,true
CL-0072,UB-0072,2023-06-07,true,false
CL-0073,UB-0073,2021-07-01,true,true
CL-0074,UB-0074,2017-07-11,true,true
CL-0075,UB-0075,2021-01-29,true,true
CL-0076,UB-0076,2015-06-21,true,false
CL-0077,UB-0077,2016-08-16,true,false
CL-0078,UB-0078,2019-02-14,true,true
CL-0079,UB-0079,2020-12-23,true,true
CL-0080,UB-0080,2022-04-01,true,true
CL-0081,UB-0081,2020-03-24,true,true
CL-0082,UB-0082,2018-03-05,true,true
CL-0083,UB-0083,2015-06-20,true,false
CL-0084,UB-0084,2018-07-25,true,true
CL-0085,UB-0085,2017-10-20,true,true
CL-0086,UB-0086,2022-07-10,true,false
CL-0087,UB-0087,2016-10-31,true,true
CL-0088,UB-0088,2019-09-06,true,true
CL-0089,UB-0089,2017-01-30,true,true
CL-0090,UB-0090,2019-12-17,true,false
CL-0091,UB-0091,2022-02-11,true,true
CL-0092,UB-0092,2022-09-10,true,true
CL-0093,UB-0093,2019-01-10,true,true
CL-0094,UB-0094,2017-06-27,true,true
CL-0095,UB-0095,2017-05-05,true,true
CL-0096,UB-0096,2019-10-05,true,true
CL-0097,UB-0097,2021-12-22,true,true
CL-0098,UB-0098,2017-01-20,true,true
CL-0099,UB-0099,2017-02-07,true,false
CL-0100,UB-0100,2018-07-31,true,false
CL-0101,UB-0101,2020-04-21,true,true
CL-0102,UB-0102,2018-04-27,true,true
CL-0103,UB-0103,2016-10-07,true,true
CL-0104,UB-0104,2023-07-05,true,true
CL-0105,UB-0105,2019-04-07,true,true
CL-0106,UB-0106,2017-11-12,true,true
CL-0107,UB-0107,2018-11-09,true,false
CL-0108,UB-0108,2019-01-11,true,true
CL-0109,UB-0109,2023-02-21,true,true
CL-0110,UB-0110,2016-07-04,true,true
CL-0111,UB-0111,2018-08-15,true,true
CL-0112,UB-0112,2020-08-23,true,true
CL-0113,UB-0113,2018-12-25,true,true
CL-0114,UB-0114,2020-08-10,true,true
CL-0115,UB-0115,2021-05-30,true,true
CL-0116,UB-0116,2023-03-27,true,true
CL-0117,UB-0117,2022-02-18,true,true
CL-0118,UB-0118,2023-07-04,true,true
CL-0119,UB-0119,2017-06-19,true,true
CL-0120,UB-0120,2020-04-16,true,true
CL-0121,UB-0121,2017-10-29,true,true
CL-0122,UB-0122,2021-12-01,true,true
CL-0123,UB-0123,2023-10-23,true,true
CL-0124,UB-0124,2021-03-22,true,true
CL-0125,UB-0125,2022-11-24,true,true
CL-0126,UB-0126,2023-09-02,true,true
CL-0127,UB-0127,2016-05-21,true,true
CL-0128,UB-0128,2023-12-08,true,true
CL-0129,UB-0129,2017-07-02,true,true
CL-0130,UB-0130,2020-12-22,true,true
CL-0131,UB-0131,2016-08-16,true,true
CL-0132,UB-0132,2015-12-02,true,true
CL-0133,UB-0133,2016-03-04,true,true
CL-0134,UB-0134,2023-08-19,true,true
CL-0135,UB-0135,2023-07-15,true,true
