tarjetaId,ultimosCuatroDigitos,tipoTarjeta,limiteCredito,fechaVencimiento,bloqueada,intentosFallidos,redesContactadas,fechaEmision,banco
TJ-0001,8955,prepago,26697.81,2025-02-06,false,2,Visa,2021-02-25,Banistmo
TJ-0002,7322,credito,28188.27,2025-04-11,false,1,Amex|Mastercard,2018-12-29,Citibank
TJ-0003,1749,debito,31757.81,2028-04-12,false,1,Amex|Visa,2022-04-07,Davivienda
TJ-0004,1561,credito,24479.2,2025-10-01,false,2,Visa|Amex,2019-04-05,HSBC
TJ-0005,4164,debito,11328.14,2028-09-16,false,1,Mastercard,2023-10-14,Industrial
TJ-0006,1471,prepago,11875.31,2028-06-27,false,2,Amex|Mastercard,2019-02-27,HSBC
TJ-0007,5653,prepago,27882.61,2028-08-13,false,1,Mastercard,2022-05-07,Davivienda
TJ-0008,1578,debito,19566.99,2029-10-10,false,2,Mastercard|Amex,2018-10-08,Citibank
TJ-0009,2654,credito,21824.34,2027-12-22,false,1,Mastercard,2022-02-05,Banistmo
TJ-0010,5975,credito,46380.29,2025-01-01,false,2,Amex,2022-12-03,Industrial
TJ-0011,3401,credito,36268.2,2025-07-05,false,1,Mastercard|Amex,2020-05-26,Industrial
TJ-0012,8812,debito,39935.49,2024-03-16,false,2,Visa,2022-03-31,Davivienda
TJ-0013,8881,credito,30003.23,2025-10-20,false,1,Mastercard,2021-03-05,Davivienda
TJ-0014,1206,credito,8035.29,2024-08-23,false,0,Mastercard|Amex,2021-08-08,BAC
TJ-0015,6604,debito,29902.85,2024-05-08,false,2,Amex,2020-05-05,Davivienda
TJ-0016,8507,credito,26500.99,2029-05-13,false,0,Mastercard|Visa,2022-05-24,Industrial
TJ-0017,5621,credito,26781.44,2024-08-31,true,3,Amex,2018-11-22,HSBC
TJ-0018,3578,prepago,16053.46,2026-07-14,false,0,Amex|Mastercard,2019-03-12,Davivienda
TJ-0019,7762,debito,49528.11,2028-08-19,false,1,Amex,2023-07-27,Industrial
TJ-0020,9550,prepago,40123.92,2025-10-04,false,0,Visa|Mastercard,2021-09-02,Banistmo
TJ-0021,3718,credito,13240.77,2025-06-15,true,6,Visa|Mastercard,2022-04-15,Davivienda
TJ-0022,2672,credito,18611.86,2028-02-20,false,2,Mastercard,2019-02-23,G&T Continental
TJ-0023,9304,credito,17503.9,2028-08-17,false,1,Visa|Amex,2020-01-07,Industrial
TJ-0024,8992,prepago,28112.94,2027-02-02,false,1,Amex,2022-04-13,Industrial
TJ-0025,6347,credito,24208.13,2027-08-15,false,2,Mastercard|Amex,2019-09-29,BAC
TJ-0026,5252,prepago,28210.75,2026-10-25,false,2,Visa|Amex,2020-09-27,Davivienda
TJ-0027,2258,debito,18982.57,2026-07-16,false,0,Amex,2018-05-10,G&T Continental
TJ-0028,7236,prepago,29770.86,2025-05-13,false,1,Amex,2020-10-15,Banistmo
TJ-0029,2397,credito,13921.02,2025-01-13,true,4,Amex,2019-05-28,Citibank
TJ-0030,7199,prepago,34150.53,2025-08-08,false,1,Mastercard|Visa,2021-03-31,Banrural
TJ-0031,4611,debito,4846.11,2025-01-16,false,0,Amex,2019-03-01,Banrural
TJ-0032,2696,debito,1475.67,2027-11-01,false,0,Visa,2021-07-13,Banrural
TJ-0033,1036,debito,16279.14,2024-06-06,false,2,Mastercard|Visa,2021-01-30,BAC
TJ-0034,7330,debito,5904.29,2029-08-23,false,1,Visa,2018-03-31,Industrial
TJ-0035,6794,debito,14316.55,2029-04-24,true,5,Mastercard,2021-09-05,Davivienda
TJ-0036,1895,debito,36556.55,2024-04-21,false,0,Mastercard,2020-12-23,HSBC
TJ-0037,9605,debito,1181.79,2026-07-29,false,0,Amex,2020-07-25,Banistmo
TJ-0038,5733,credito,10105.28,2028-07-14,false,1,Visa,2022-04-28,BAC
TJ-0039,7989,debito,18179.05,2024-09-24,false,2,Mastercard,2023-06-26,Banistmo
TJ-0040,1593,credito,2311.35,2029-12-26,false,2,Amex|Mastercard,2021-04-24,Banistmo
TJ-0041,3715,debito,12067.11,2024-06-02,false,1,Visa|Amex,2021-02-24,Davivienda
TJ-0042,9536,debito,23730.08,2027-05-15,false,2,Amex|Mastercard,2023-09-15,HSBC
TJ-0043,8656,credito,45010.97,2026-10-06,false,1,Visa,2018-08-08,Davivienda
TJ-0044,1064,credito,22781.27,2026-06-27,false,2,Mastercard|Amex,2020-03-19,Industrial
TJ-0045,1605,debito,26862.45,2025-03-29,false,0,Visa|Mastercard,2018-08-02,BAC
TJ-0046,1387,credito,46173.77,2027-01-02,false,1,Visa|Mastercard,2021-09-30,Banistmo
TJ-0047,4726,credito,12431.38,2029-10-26,false,1,Amex|Mastercard,2022-03-13,G&T Continental
TJ-0048,2784,debito,39031.59,2024-04-18,false,0,Mastercard,2020-09-25,BAC
TJ-0049,1907,debito,31242.25,2026-01-07,false,1,Mastercard|Visa,2022-04-30,Banrural
TJ-0050,8825,prepago,41742.11,2026-08-22,false,0,Visa|Mastercard,2022-10-18,G&T Continental
TJ-0051,9115,prepago,36415.95,2026-03-14,false,2,Amex|Mastercard,2021-09-11,Industrial
TJ-0052,3513,debito,33283.8,2028-05-08,false,2,Amex|Visa,2020-12-04,Banrural
TJ-0053,4955,debito,29248.84,2025-05-24,false,1,Mastercard|Visa,2022-10-30,BAC
TJ-0054,2659,debito,43762.97,2027-08-01,false,1,Visa,2019-05-13,Banistmo
TJ-0055,1401,debito,35176.81,2026-02-08,false,1,Mastercard|Amex,2022-06-30,Industrial
TJ-0056,9767,prepago,30202.54,2024-03-04,false,0,Amex|Mastercard,2022-01-17,Davivienda
TJ-0057,4781,prepago,36150.02,2026-10-23,true,5,Amex|Visa,2022-06-07,Banistmo
TJ-0058,3472,debito,16785.56,2024-08-12,false,1,Amex,2019-12-13,Banistmo
TJ-0059,1116,credito,33673.65,2025-03-31,false,2,Visa,2021-08-31,Banistmo
TJ-0060,2153,prepago,23523.98,2026-11-22,true,7,Visa,2018-12-26,Industrial
TJ-0061,9388,credito,33102.28,2026-03-02,true,7,Amex|Visa,2022-07-17,Davivienda
TJ-0062,4572,credito,4006.7,2026-12-10,false,2,Mastercard,2023-03-25,Industrial
TJ-0063,7761,debito,48501.93,2028-09-12,false,0,Visa,2018-10-22,G&T Continental
TJ-0064,1343,debito,11452.82,2024-11-30,false,2,Mastercard|Visa,2023-05-23,Banistmo
TJ-0065,4659,credito,8621.49,2028-08-20,true,7,Amex,2022-11-23,Industrial
TJ-0066,4101,debito,45739.98,2024-09-27,false,1,Mastercard|Amex,2018-03-03,Industrial
TJ-0067,2109,prepago,29006.69,2026-07-23,false,2,Mastercard,2019-07-28,G&T Continental
TJ-0068,7591,debito,45663.96,2025-12-17,false,1,Mastercard,2020-12-01,Citibank
TJ-0069,3710,credito,16338.04,2028-08-24,false,1,Mastercard|Amex,2020-10-14,Banistmo
TJ-0070,9882,debito,25857.49,2025-04-20,false,0,Visa|Amex,2018-07-09,Banistmo
TJ-0071,9515,credito,16703.25,2029-08-08,false,1,Mastercard,2021-07-23,Citibank
TJ-0072,1914,prepago,45582.47,2025-11-14,false,1,Amex|Visa,2019-12-05,Citibank
TJ-0073,3489,credito,35948.73,2026-12-27,false,1,Mastercard,2019-11-21,Banrural
TJ-0074,7501,debito,36517.45,2026-06-05,false,0,Mastercard,2023-09-15,HSBC
TJ-0075,1109,credito,31501.95,2027-11-12,true,10,Visa|Mastercard,2020-03-12,Citibank
TJ-0076,6174,debito,4304.95,2025-08-21,false,1,Mastercard|Visa,2018-10-29,Banrural
TJ-0077,4548,debito,48195.59,2029-02-10,false,0,Amex,2023-12-02,Banistmo
TJ-0078,6818,debito,47934.25,2029-03-11,false,1,Visa,2019-10-19,Citibank
TJ-0079,5778,prepago,42657.95,2026-04-20,false,0,Visa,2018-06-25,Citibank
TJ-0080,5083,credito,37412.66,2029-09-12,false,2,Amex,2019-11-12,HSBC
TJ-0081,3282,prepago,23850.54,2025-12-02,false,0,Mastercard,2023-11-07,Industrial
TJ-0082,8231,credito,36097.19,2027-12-17,true,7,Visa|Amex,2018-01-11,Davivienda
TJ-0083,2049,prepago,23010.27,2024-04-02,false,2,Visa|Mastercard,2020-11-03,Banrural
TJ-0084,3624,debito,31040.53,2028-10-26,false,0,Mastercard|Visa,2019-10-06,Citibank
TJ-0085,2497,prepago,35759.35,2024-03-16,false,1,Visa,2023-10-04,Banrural
TJ-0086,9810,debito,35790.26,2025-06-11,false,1,Visa,2018-07-15,BAC
TJ-0087,1175,debito,7597.38,2026-09-12,false,1,Visa,2023-12-07,Industrial
TJ-0088,4119,prepago,14314.11,2025-08-06,true,7,Mastercard,2021-09-17,Industrial
TJ-0089,8122,prepago,7935.74,2024-05-03,false,2,Mastercard,2022-06-12,Industrial
TJ-0090,7984,prepago,19889.84,2029-04-14,false,2,Visa|Amex,2020-04-25,BAC
TJ-0091,5562,debito,4149.6,2024-03-18,false,1,Mastercard,2022-05-21,HSBC
TJ-0092,1070,credito,34602.94,2027-03-23,false,1,Amex|Visa,2019-02-13,Citibank
TJ-0093,2556,debito,20953.62,2025-08-07,false,2,Amex|Visa,2023-10-14,BAC
TJ-0094,5845,credito,6831.75,2024-01-25,false,1,Amex,2022-07-29,Banistmo
TJ-0095,4197,credito,17164.91,2025-10-27,true,8,Visa|Amex,2019-10-29,G&T Continental
TJ-0096,1786,debito,25657.5,2026-03-01,false,1,Amex|Mastercard,2020-08-20,Citibank
TJ-0097,1938,prepago,42690.83,2027-06-07,false,1,Visa|Mastercard,2020-03-23,Citibank
TJ-0098,2745,credito,6674.76,2027-09-12,true,5,Mastercard|Amex,2020-01-14,Davivienda
TJ-0099,9901,prepago,27376.84,2028-07-04,false,0,Visa,2022-12-29,HSBC
