transaccionId,monto,fecha,descripcion,estado,esSospechosa,canal,moneda,categoriaGasto,horaLocal
TX-00001,40057.15,2024-10-18,Ad ipsam ut nostrum ea.,aprobada,false,online,GTQ,servicios,5
TX-00002,1912.99,2024-04-02,Aspernatur minima quam sequi nemo.,rechazada,false,transferencia,USD,viajes,10
TX-00003,22942.78,2023-08-17,Veritatis velit voluptatem sunt.,pendiente,false,online,GTQ,educacion,10
TX-00004,46025.04,2023-06-08,Voluptate excepturi quasi animi.,aprobada,false,online,GTQ,entretenimiento,23
TX-00005,27544.96,2023-10-25,Autem expedita explicabo omnis optio.,aprobada,false,online,GTQ,transferencia,23
TX-00006,32986.98,2023-11-29,Repudiandae asperiores.,rechazada,false,POS,USD,entretenimiento,2
TX-00007,45389.87,2024-09-28,Culpa quos eveniet voluptatum.,rechazada,false,transferencia,GTQ,viajes,20
TX-00008,39329.04,2024-02-11,Molestiae magnam molestias esse.,aprobada,false,ATM,GTQ,transferencia,6
TX-00009,2646.24,2023-03-03,Assumenda possimus quia.,revertida,false,transferencia,USD,retiro_efectivo,19
TX-00010,56.06,2024-07-27,Expedita cum.,aprobada,false,POS,GTQ,transporte,14
TX-00011,14150.6,2024-02-29,Libero quam voluptatum culpa.,aprobada,false,POS,GTQ,ropa,4
TX-00012,41859.46,2024-07-10,Reiciendis quis corrupti similique.,aprobada,false,online,GTQ,salud,7
TX-00013,18762.05,2023-09-11,Quo debitis.,aprobada,false,transferencia,GTQ,transferencia,15
TX-00014,6550.74,2024-03-20,Corporis omnis reiciendis nihil dignissimos.,aprobada,false,POS,USD,alimentacion,9
TX-00015,7045.46,2024-02-12,Sed facere harum.,aprobada,false,transferencia,USD,salud,11
TX-00016,3456.7,2024-09-05,Tempora suscipit et.,aprobada,false,app_movil,GTQ,servicios,2
TX-00017,8986.11,2024-01-27,Eaque iusto libero iusto voluptatibus.,aprobada,false,ATM,USD,transferencia,16
TX-00018,10933.42,2024-06-03,Deleniti quod in unde.,pendiente,false,ATM,GTQ,transporte,21
TX-00019,24053.35,2024-01-29,Nihil praesentium assumenda eligendi.,aprobada,false,transferencia,GTQ,salud,2
TX-00020,25235.12,2024-01-18,Modi quos eaque.,aprobada,false,ATM,GTQ,transporte,1
TX-00021,20987.76,2024-03-16,Unde ab similique repellat.,aprobada,false,online,GTQ,entretenimiento,7
TX-00022,4367.22,2024-04-27,Nobis incidunt totam laudantium.,aprobada,false,transferencia,USD,retiro_efectivo,6
TX-00023,45426.16,2023-02-02,Enim placeat modi.,aprobada,false,ATM,GTQ,viajes,21
TX-00024,46977.73,2024-04-19,Soluta velit eius.,aprobada,false,app_movil,GTQ,viajes,15
TX-00025,15564.48,2023-12-23,Cupiditate provident.,aprobada,false,app_movil,GTQ,transferencia,12
TX-00026,44976.72,2024-05-31,Quibusdam illum.,pendiente,false,ATM,GTQ,ropa,8
TX-00027,17917.83,2023-04-24,Voluptatem totam saepe voluptas.,rechazada,false,online,GTQ,alimentacion,6
TX-00028,28714.17,2024-01-16,Eligendi quisquam quibusdam reprehenderit pariatur.,aprobada,false,transferencia,GTQ,alimentacion,6
TX-00029,34560.46,2023-07-13,Soluta porro neque incidunt.,aprobada,false,ATM,GTQ,transporte,6
TX-00030,48690.5,2024-06-16,Distinctio harum ipsa suscipit.,aprobada,false,POS,GTQ,alimentacion,9
TX-00031,12527.45,2024-03-18,Cumque molestiae.,aprobada,false,ATM,GTQ,viajes,12
TX-00032,35867.89,2023-11-24,Aspernatur saepe sequi enim.,aprobada,false,app_movil,GTQ,transporte,9
TX-00033,40750.17,2024-05-03,Et mollitia deleniti soluta.,aprobada,false,online,GTQ,transporte,9
TX-00034,28128.73,2023-09-08,Totam repellendus eos mollitia.,pendiente,false,app_movil,USD,educacion,9
TX-00035,43938.73,2024-08-15,Doloremque omnis iste vel.,aprobada,false,app_movil,GTQ,alimentacion,22
TX-00036,21844.75,2023-12-02,Enim iste tenetur.,aprobada,false,online,USD,entretenimiento,1
TX-00037,11452.2,2024-01-05,Ea sit aperiam.,aprobada,false,POS,GTQ,salud,5
TX-00038,18718.23,2023-07-05,Sed vitae.,aprobada,false,POS,GTQ,retiro_efectivo,5
TX-00039,44701.64,2024-08-28,Natus modi voluptate fugiat hic.,revertida,false,transferencia,GTQ,transferencia,19
TX-00040,17918.24,2023-03-26,Aut minima.,revertida,false,online,GTQ,ropa,19
TX-00041,35346.39,2024-08-20,Incidunt necessitatibus quia totam.,aprobada,false,POS,GTQ,viajes,23
TX-00042,21633.62,2023-11-26,Saepe atque molestiae.,aprobada,false,online,GTQ,transferencia,9
TX-00043,48427.05,2023-06-23,Perferendis nulla laborum qui.,aprobada,false,online,GTQ,entretenimiento,2
TX-00044,24780.8,2024-01-10,Voluptas deleniti nulla quia.,revertida,false,transferencia,GTQ,servicios,12
TX-00045,29400.24,2024-05-14,Quasi enim harum distinctio.,pendiente,false,POS,GTQ,ropa,16
TX-00046,15070.05,2024-04-07,Delectus ad maiores ea incidunt.,rechazada,false,POS,USD,transferencia,21
TX-00047,24509.73,2024-10-19,Tenetur expedita quia repellendus.,aprobada,false,ATM,USD,alimentacion,13
TX-00048,1402.66,2024-12-08,Dicta itaque consequatur.,aprobada,false,transferencia,GTQ,transporte,22
TX-00049,24769.4,2023-10-04,Earum laborum.,aprobada,false,POS,USD,viajes,20
TX-00050,20686.13,2023-08-15,Illo natus ipsa sunt.,aprobada,false,ATM,GTQ,alimentacion,3
TX-00051,6383.86,2024-12-02,Quis et deleniti.,aprobada,false,transferencia,USD,viajes,19
TX-00052,16187.45,2023-07-01,Sint consectetur magni excepturi.,pendiente,false,online,GTQ,educacion,15
TX-00053,46080.25,2023-07-26,Harum quo nesciunt soluta.,aprobada,false,transferencia,USD,retiro_efectivo,22
TX-00054,44956.66,2023-12-13,Nulla itaque voluptatibus dicta sequi.,rechazada,false,app_movil,USD,ropa,21
TX-00055,26058.22,2024-06-04,Eveniet sequi laudantium quam dicta.,aprobada,false,app_movil,GTQ,ropa,12
TX-00056,16261.81,2024-03-01,Sapiente molestias nobis quia.,aprobada,false,POS,GTQ,transporte,22
TX-00057,49288.33,2023-11-05,Dolore enim ratione ipsa ducimus.,rechazada,false,app_movil,USD,transferencia,17
TX-00058,12551.7,2024-10-16,Et totam eius occaecati.,aprobada,false,ATM,GTQ,transferencia,12
TX-00059,34783.17,2023-04-30,Odit adipisci.,pendiente,false,online,USD,transporte,3
TX-00060,20772.15,2023-07-12,Aspernatur corporis a ullam facilis.,aprobada,false,transferencia,GTQ,educacion,10
TX-00061,7438.05,2024-02-09,Dolores aliquid.,pendiente,false,POS,GTQ,transporte,16
TX-00062,32065.54,2024-03-15,Perspiciatis laboriosam dolorum distinctio.,aprobada,false,POS,USD,servicios,4
TX-00063,41976.93,2024-12-17,Quisquam dolores debitis laudantium.,rechazada,false,online,USD,transferencia,17
TX-00064,24091.93,2024-06-03,Ex reiciendis accusamus facilis praesentium.,aprobada,false,online,GTQ,viajes,16
TX-00065,21248.62,2023-08-18,Sequi aliquid commodi ipsa.,aprobada,false,POS,GTQ,entretenimiento,18
TX-00066,35433.98,2024-02-03,Blanditiis dolorem magni.,aprobada,false,POS,GTQ,entretenimiento,8
TX-00067,36591.42,2024-03-08,Aliquid a labore.,aprobada,false,online,GTQ,salud,18
TX-00068,24139.02,2024-02-20,Perferendis illum odio adipisci.,aprobada,false,POS,GTQ,alimentacion,4
TX-00069,48651.6,2024-09-12,Ipsam amet.,aprobada,false,app_movil,GTQ,retiro_efectivo,6
TX-00070,49809.8,2024-10-29,Mollitia placeat quasi.,rechazada,false,ATM,GTQ,retiro_efectivo,14
TX-00071,40617.07,2023-01-05,Nulla accusantium.,aprobada,false,online,GTQ,entretenimiento,7
TX-00072,9436.27,2024-03-03,Quis iusto quae iusto.,aprobada,false,POS,GTQ,ropa,13
TX-00073,31020.88,2023-10-24,Voluptatibus quas nemo.,aprobada,false,online,GTQ,transferencia,12
TX-00074,39964.97,2023-01-09,Optio impedit temporibus atque.,aprobada,false,POS,USD,alimentacion,0
TX-00075,10169.94,2023-08-12,Iste magnam culpa molestias.,aprobada,false,ATM,USD,educacion,15
TX-00076,22230.02,2024-12-12,Impedit ab velit.,rechazada,false,ATM,USD,salud,22
