ubicacionId,ciudad,pais,latitud,longitud,zonaRiesgo,codigoPostal,region,poblacion,codigoPais
UB-0001,Ciudad de México,México,-32.959733,-99.069311,false,93362-8911,Norteamérica,1769583,MX
UB-0002,Caracas,Venezuela,-1.855674,-115.232598,true,81991,Sudamérica,1621945,VE
UB-0003,New York,Estados Unidos,-52.611763,-90.174352,false,73129,Norteamérica,9192600,US
UB-0004,San Salvador,El Salvador,-29.962836,10.395048,false,69172-4762,Centroamérica,2728638,SV
UB-0005,Santa Ana,El Salvador,-35.621761,-5.475881,false,43501-1370,Centroamérica,1764803,SV
UB-0006,Cancún,México,21.274493,-29.441095,true,89373,Norteamérica,778977,MX
UB-0007,Cartago,Costa Rica,28.006583,-108.17997,false,42978,Centroamérica,4968715,CR
UB-0008,Abuja,Nigeria,-3.038307,-14.314225,true,76267-9104,África,818805,NG
UB-0009,Los Angeles,Estados Unidos,21.978595,9.97255,false,00179-1188,Norteamérica,6427459,US
UB-0010,Colón,Panamá,-22.165104,-64.472855,false,82525-0716,Centroamérica,3564944,PA
UB-0011,David,Panamá,3.323185,-28.630349,false,47478-0919,Centroamérica,2921230,PA
UB-0012,Valencia,Venezuela,-32.967017,-50.660968,true,58930-6778,Sudamérica,4578972,VE
UB-0013,Caracas,Venezuela,6.615283,6.427788,true,84718-5070,Sudamérica,988483,VE
UB-0014,Miami,Estados Unidos,-18.895169,-110.071709,false,50131-7334,Norteamérica,9565702,US
UB-0015,Tegucigalpa,Honduras,-19.393129,17.182138,false,63141,Centroamérica,7748256,HN
UB-0016,Cali,Colombia,12.049008,-39.153407,false,86289-3247,Sudamérica,9857725,CO
UB-0017,San Miguel,El Salvador,-35.261132,29.630641,false,10191-6902,Centroamérica,8598432,SV
UB-0018,San José,Costa Rica,22.499262,-97.073802,false,37192-1085,Centroamérica,2734052,CR
UB-0019,San Miguel,El Salvador,-20.654264,29.418207,true,04164,Centroamérica,8927065,SV
UB-0020,David,Panamá,-53.966708,-11.891727,false,06249-1705,Centroamérica,9058867,PA
UB-0021,David,Panamá,-28.584988,-96.276337,false,71456-3925,Centroamérica,104447,PA
UB-0022,David,Panamá,-9.308649,-104.038377,false,71030-6507,Centroamérica,5057072,PA
UB-0023,Valencia,Venezuela,-37.098001,-63.912922,true,74973,Sudamérica,2760343,VE
UB-0024,Valencia,Venezuela,27.664414,-30.158312,true,15899,Sudamérica,8247443,VE
UB-0025,Ciudad de Guatemala,Guatemala,24.084969,4.749829,false,64964,Centroamérica,5209230,GT
UB-0026,Miami,Estados Unidos,-3.937875,-108.186443,false,02137-6925,Norteamérica,8203566,US
UB-0027,Tijuana,México,-43.444768,-48.707643,false,63189-1689,Norteamérica,9274173,MX
UB-0028,Cali,Colombia,-0.406547,24.654436,false,35712-9906,Sudamérica,9097886,CO
UB-0029,Los Angeles,Estados Unidos,5.451826,-63.986925,false,95331-6622,Norteamérica,8733481,US
UB-0030,San José,Costa Rica,-49.237669,-116.844861,false,21282,Centroamérica,9343261,CR
UB-0031,Chicago,Estados Unidos,-48.610622,-25.334556,false,38304,Norteamérica,3891005,US
UB-0032,Ciudad de México,México,-48.622839,-84.299305,false,36104,Norteamérica,8193903,MX
UB-0033,Chicago,Estados Unidos,29.196282,-34.343536,false,40882-6158,Norteamérica,7980103,US
UB-0034,Houston,Estados Unidos,-37.863108,-105.460378,false,50809-6291,Norteamérica,7281838,US
UB-0035,San Pedro Sula,Honduras,22.745307,-111.874322,false,60334-0735,Centroamérica,1701177,HN
UB-0036,Mixco,Guatemala,17.053326,-103.609645,false,96583-5459,Centroamérica,3264348,GT
UB-0037,Chicago,Estados Unidos,-17.030652,-78.218228,false,29587-9234,Norteamérica,4241056,US
UB-0038,Cancún,México,22.03702,-105.313691,false,15045,Norteamérica,9119560,MX
UB-0039,Ciudad de Guatemala,Guatemala,21.382616,-95.053333,false,10889-1240,Centroamérica,8197706,GT
UB-0040,San José,Costa Rica,26.219858,-95.304432,false,12465,Centroamérica,86161,CR
UB-0041,Santa Ana,El Salvador,15.661642,-77.212616,false,67375,Centroamérica,9374245,SV
UB-0042,San José,Costa Rica,-35.406919,-111.227506,false,19873-8382,Centroamérica,9146526,CR
UB-0043,Escuintla,Guatemala,-2.424016,-44.572443,true,73832,Centroamérica,8960817,GT
UB-0044,Bogotá,Colombia,-47.789968,-92.126256,false,47920,Sudamérica,1190194,CO
UB-0045,Houston,Estados Unidos,25.125858,-83.067698,false,47954,Norteamérica,716754,US
UB-0046,Lagos,Nigeria,-17.269758,-32.449157,true,11155,África,8820838,NG
UB-0047,San Pedro Sula,Honduras,9.457262,-84.197107,false,32814,Centroamérica,6690184,HN
UB-0048,Cali,Colombia,28.61165,20.360143,false,39092-5024,Sudamérica,206287,CO
UB-0049,Cartago,Costa Rica,34.64868,-109.010892,false,57627-3454,Centroamérica,3626135,CR
UB-0050,Maracaibo,Venezuela,-43.078909,-67.648675,true,09023-5169,Sudamérica,1204126,VE
UB-0051,Los Angeles,Estados Unidos,-15.563388,-38.517306,false,98577-8755,Norteamérica,5125395,US
UB-0052,Kano,Nigeria,-7.395338,-19.820519,true,22571-9671,África,9354682,NG
UB-0053,David,Panamá,24.031427,-80.330112,false,20457,Centroamérica,1845765,PA
UB-0054,Caracas,Venezuela,-30.488661,-29.275526,true,37840,Sudamérica,5802576,VE
UB-0055,Los Angeles,Estados Unidos,-32.399087,16.223857,false,16465-7747,Norteamérica,902264,US
UB-0056,Cancún,México,-51.032191,-69.966519,false,47764-7031,Norteamérica,2244789,MX
UB-0057,Ciudad de Panamá,Panamá,-5.348762,-55.846962,false,41704-3062,Centroamérica,212230,PA
UB-0058,Ciudad de México,México,7.191766,-97.641857,false,99705,Norteamérica,654451,MX
UB-0059,La Ceiba,Honduras,-16.319196,-113.725671,false,35116,Centroamérica,6167837,HN
UB-0060,Escuintla,Guatemala,-32.542323,-104.580957,false,70739,Centroamérica,9443286,GT
UB-0061,San Miguel,El Salvador,28.318744,-84.4894,false,20519-3519,Centroamérica,2776327,SV
UB-0062,Barranquilla,Colombia,11.290802,-70.17218,true,77388,Sudamérica,6957400,CO
UB-0063,Los Angeles,Estados Unidos,8.115037,-62.618742,false,70870-4549,Norteamérica,699691,US
UB-0064,San José,Costa Rica,27.660671,-67.551236,false,18036-8010,Centroamérica,3868418,CR
UB-0065,Miami,Estados Unidos,-19.138062,-78.209541,false,29116-0462,Norteamérica,1214686,US
UB-0066,Colón,Panamá,-19.028945,27.172453,false,08825,Centroamérica,9046207,PA
